model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,7.959391,6.451967,1.301447,1.294088,6.478625
ResNet50,layer1.0.conv1,7.907336,7.013699,1.664460,1.641408,7.086505
ResNet50,layer1.0.conv2,7.989597,10.149172,2.496525,2.491988,10.165965
ResNet50,layer1.0.conv3,7.907336,8.722992,2.362282,2.318980,8.835895
ResNet50,layer1.0.downsample.0,7.907336,6.971803,1.667150,1.644270,7.043738
ResNet50,layer1.1.conv1,7.976631,9.523491,2.385636,2.374393,9.556822
ResNet50,layer1.1.conv2,7.989597,11.458972,3.003158,2.996596,11.480384
ResNet50,layer1.1.conv3,7.907336,10.519358,3.119721,3.044639,10.683990
ResNet50,layer1.2.conv1,7.976631,8.044652,1.809224,1.802393,8.068422
ResNet50,layer1.2.conv2,7.989597,11.270629,2.926263,2.920032,11.291342
ResNet50,layer1.2.conv3,7.907336,11.449714,3.571576,3.473512,11.645024
ResNet50,layer2.0.conv1,7.976631,7.566759,1.673770,1.667957,7.587785
ResNet50,layer2.0.conv2,7.994795,11.063232,2.972059,2.978753,11.073202
ResNet50,layer2.0.conv3,7.953398,8.197921,2.218395,2.203075,8.247441
ResNet50,layer2.0.downsample.0,7.976631,7.077926,1.690114,1.686394,7.096320
ResNet50,layer2.1.conv1,7.988298,9.940716,2.682451,2.683052,9.958843
ResNet50,layer2.1.conv2,7.994795,9.692372,2.439158,2.443665,9.700023
ResNet50,layer2.1.conv3,7.953398,8.039546,2.160802,2.146264,8.087166
ResNet50,layer2.2.conv1,7.988298,8.543404,2.158499,2.158889,8.556789
ResNet50,layer2.2.conv2,7.994795,9.961082,2.538238,2.543120,9.969164
ResNet50,layer2.2.conv3,7.953398,8.185129,2.213714,2.198459,8.234494
ResNet50,layer2.3.conv1,7.988298,9.151144,2.377946,2.378418,9.166504
ResNet50,layer2.3.conv2,7.994795,10.448551,2.724476,2.730101,10.457443
ResNet50,layer2.3.conv3,7.953398,9.028287,2.533695,2.513731,9.088384
ResNet50,layer3.0.conv1,7.988298,8.696941,2.208063,2.207907,8.710813
ResNet50,layer3.0.conv2,7.997397,8.565505,1.982931,1.992034,8.568491
ResNet50,layer3.0.conv3,7.976631,6.757138,1.581477,1.578249,6.773901
ResNet50,layer3.0.downsample.0,7.988298,6.776730,1.514600,1.514064,6.785149
ResNet50,layer3.1.conv1,7.994145,7.946383,1.937023,1.944117,7.952168
ResNet50,layer3.1.conv2,7.997397,8.027681,1.814694,1.822525,8.030304
ResNet50,layer3.1.conv3,7.976631,6.923175,1.624797,1.621390,6.940772
ResNet50,layer3.2.conv1,7.994145,7.651582,1.846004,1.852445,7.656946
ResNet50,layer3.2.conv2,7.997397,8.241669,1.875228,1.883592,8.244434
ResNet50,layer3.2.conv3,7.976631,6.962260,1.635029,1.631579,6.980056
ResNet50,layer3.3.conv1,7.994145,7.790529,1.888669,1.895413,7.796090
ResNet50,layer3.3.conv2,7.997397,8.472070,1.941296,1.950260,8.474991
ResNet50,layer3.3.conv3,7.976631,6.948049,1.631307,1.627873,6.965773
ResNet50,layer3.4.conv1,7.994145,7.884454,1.917746,1.924699,7.890149
ResNet50,layer3.4.conv2,7.997397,8.507671,1.966682,1.975636,8.510617
ResNet50,layer3.4.conv3,7.976631,6.997239,1.648590,1.645067,7.015215
ResNet50,layer3.5.conv1,7.994145,8.161233,2.004557,2.012155,8.167335
ResNet50,layer3.5.conv2,7.997397,8.633944,2.002220,2.011502,8.636978
ResNet50,layer3.5.conv3,7.976631,6.987142,1.641550,1.638073,7.005066
ResNet50,layer4.0.conv1,7.994145,7.522225,1.732105,1.735081,7.527409
ResNet50,layer4.0.conv2,7.998698,6.790123,1.327577,1.331060,6.791061
ResNet50,layer4.0.conv3,7.988298,6.471965,1.355962,1.354666,6.479644
ResNet50,layer4.0.downsample.0,7.994145,6.478882,1.302613,1.302419,6.482727
ResNet50,layer4.1.conv1,7.997071,6.678558,1.411883,1.415291,6.680600
ResNet50,layer4.1.conv2,7.998698,6.781967,1.326018,1.329493,6.782903
ResNet50,layer4.1.conv3,7.988298,6.474760,1.356971,1.355648,6.482446
ResNet50,layer4.2.conv1,7.997071,6.623515,1.399589,1.402938,6.625524
ResNet50,layer4.2.conv2,7.998698,6.792755,1.328080,1.331565,6.793694
ResNet50,layer4.2.conv3,7.988298,6.469883,1.355550,1.354255,6.477557
ResNet34,conv1,7.959391,6.451967,1.301447,1.294088,6.478625
ResNet34,layer1.0.conv1,7.989597,8.232499,1.785416,1.782957,8.243545
ResNet34,layer1.0.conv2,7.989597,9.664512,2.324480,2.320547,9.679738
ResNet34,layer1.1.conv1,7.989597,7.444521,1.561400,1.559519,7.453552
ResNet34,layer1.1.conv2,7.989597,10.640880,2.679250,2.674026,10.659341
ResNet34,layer1.2.conv1,7.989597,7.214503,1.498761,1.497028,7.222984
ResNet34,layer1.2.conv2,7.989597,12.881133,3.634076,3.624471,12.908196
ResNet34,layer2.0.conv1,7.989597,7.067366,1.598877,1.599434,7.075505
ResNet34,layer2.0.conv2,7.994795,10.941407,2.921806,2.928276,10.951158
ResNet34,layer2.0.downsample.0,7.907336,6.886166,1.816958,1.795384,6.956335
ResNet34,layer2.1.conv1,7.994795,8.765993,2.044964,2.048177,8.772251
ResNet34,layer2.1.conv2,7.994795,11.685984,3.238657,3.246608,11.697108
ResNet34,layer2.2.conv1,7.994795,8.609828,1.994332,1.997388,8.615865
ResNet34,layer2.2.conv2,7.994795,13.704179,4.343115,4.357219,13.719479
ResNet34,layer2.3.conv1,7.994795,8.647716,2.006550,2.009644,8.653806
ResNet34,layer2.3.conv2,7.994795,15.406992,5.379444,5.401098,15.426334
ResNet34,layer3.0.conv1,7.994795,7.216065,1.639008,1.644546,7.220305
ResNet34,layer3.0.conv2,7.997397,8.305682,1.893491,1.902018,8.308490
ResNet34,layer3.0.downsample.0,7.953398,7.077836,1.918344,1.912518,7.114718
ResNet34,layer3.1.conv1,7.997397,7.746460,1.736324,1.743491,7.748903
ResNet34,layer3.1.conv2,7.997397,8.931602,2.086894,2.096979,8.934849
ResNet34,layer3.2.conv1,7.997397,7.568413,1.687387,1.694156,7.570745
ResNet34,layer3.2.conv2,7.997397,9.163674,2.162322,2.172852,9.167092
ResNet34,layer3.3.conv1,7.997397,7.518370,1.673726,1.680385,7.520671
ResNet34,layer3.3.conv2,7.997397,9.165761,2.162903,2.173439,9.169180
ResNet34,layer3.4.conv1,7.997397,7.561956,1.685622,1.692376,7.564283
ResNet34,layer3.4.conv2,7.997397,9.253423,2.187353,2.198129,9.256909
ResNet34,layer3.5.conv1,7.997397,7.829547,1.759340,1.766699,7.832042
ResNet34,layer3.5.conv2,7.997397,9.245003,2.185001,2.195753,9.248482
ResNet34,layer4.0.conv1,7.997397,6.686035,1.358625,1.361922,6.687854
ResNet34,layer4.0.conv2,7.998698,6.805255,1.330469,1.333967,6.806197
ResNet34,layer4.0.downsample.0,7.976631,6.641058,1.609402,1.608466,6.657249
ResNet34,layer4.1.conv1,7.998698,6.717038,1.311991,1.315488,6.717956
ResNet34,layer4.1.conv2,7.998698,6.820249,1.333998,1.337416,6.821195
ResNet34,layer4.2.conv1,7.998698,6.654201,1.299408,1.302838,6.655102
ResNet34,layer4.2.conv2,7.998698,6.773663,1.324431,1.327897,6.774597
ResNet18,conv1,7.959391,6.451967,1.301447,1.294088,6.478625
ResNet18,layer1.0.conv1,7.989597,8.144162,1.759547,1.757158,8.154972
ResNet18,layer1.0.conv2,7.989597,9.927023,2.416706,2.412455,9.943088
ResNet18,layer1.1.conv1,7.989597,7.626977,1.611949,1.609944,7.636456
ResNet18,layer1.1.conv2,7.989597,11.219169,2.905502,2.899359,11.239693
ResNet18,layer2.0.conv1,7.989597,7.686771,1.786101,1.786796,7.696400
ResNet18,layer2.0.conv2,7.994795,10.915007,2.910995,2.917417,10.924711
ResNet18,layer2.0.downsample.0,7.907336,7.485476,2.031541,2.004609,7.568465
ResNet18,layer2.1.conv1,7.994795,9.666521,2.429755,2.434228,9.674132
ResNet18,layer2.1.conv2,7.994795,13.499610,4.231350,4.244735,13.514457
ResNet18,layer3.0.conv1,7.994795,7.765255,1.819875,1.826514,7.770165
ResNet18,layer3.0.conv2,7.997397,8.363144,1.909945,1.918622,8.365991
ResNet18,layer3.0.downsample.0,7.953398,7.618395,2.143740,2.136635,7.661144
ResNet18,layer3.1.conv1,7.997397,8.074597,1.827898,1.835844,8.077251
ResNet18,layer3.1.conv2,7.997397,9.000515,2.106681,2.116958,9.003813
ResNet18,layer4.0.conv1,7.997397,6.664282,1.354134,1.357410,6.666090
ResNet18,layer4.0.conv2,7.998698,6.798337,1.329147,1.332638,6.799278
ResNet18,layer4.0.downsample.0,7.976631,6.619402,1.603997,1.603067,6.635487
ResNet18,layer4.1.conv1,7.998698,6.787057,1.326991,1.330471,6.787994
ResNet18,layer4.1.conv2,7.998698,6.773470,1.324394,1.327860,6.774404
AlexNet,features.0,7.983505,6.439262,1.298428,1.296017,6.449989
AlexNet,features.3,7.996252,7.809222,1.738283,1.741118,7.812797
AlexNet,features.6,7.996529,7.302521,1.596069,1.600659,7.305416
AlexNet,features.8,7.998264,8.816738,2.038963,2.049622,8.818848
AlexNet,features.10,7.997397,8.511926,1.954278,1.963740,8.514875
VGG16,features.0,7.784002,6.290233,1.288270,1.249210,6.430537
VGG16,features.2,7.989597,10.676688,2.296469,2.289756,10.695273
VGG16,features.5,7.989597,8.602394,1.751823,1.748313,8.614455
VGG16,features.7,7.994795,12.328157,2.988972,2.984321,12.340538
VGG16,features.10,7.994795,9.658482,2.237485,2.236499,9.666080
VGG16,features.12,7.997397,12.051706,3.015469,3.016293,12.057618
VGG16,features.14,7.997397,13.279748,3.549274,3.550415,13.286927
VGG16,features.17,7.997397,9.588055,2.215481,2.218981,9.591797
VGG16,features.19,7.998698,10.447556,2.424952,2.430089,10.449777
VGG16,features.21,7.998698,10.697218,2.506418,2.511906,10.699547
VGG16,features.24,7.998698,7.768243,1.591887,1.596013,7.769471
VGG16,features.26,7.998698,7.840746,1.608652,1.612866,7.841997
VGG16,features.28,7.998698,7.788692,1.596611,1.600762,7.789926
SqueezeNet,features.0,7.959391,6.373984,1.282728,1.275592,6.400000
SqueezeNet,features.3.squeeze,7.937984,7.123101,1.683479,1.667929,7.172997
SqueezeNet,features.3.expand1x1,7.642365,6.906860,1.870313,1.768673,7.197796
SqueezeNet,features.3.expand3x3,7.958549,7.296113,1.662089,1.651783,7.330936
SqueezeNet,features.4.squeeze,7.953398,10.993859,3.091250,3.052784,11.083102
SqueezeNet,features.4.expand1x1,7.641791,6.770083,1.820633,1.724182,7.049735
SqueezeNet,features.4.expand3x3,7.958549,7.148813,1.618408,1.608635,7.182240
SqueezeNet,features.5.squeeze,7.953398,9.723732,2.577264,2.550572,9.793480
SqueezeNet,features.5.expand1x1,7.816794,8.228330,2.315895,2.237278,8.431586
SqueezeNet,features.5.expand3x3,7.979221,8.562400,1.974725,1.967799,8.586332
SqueezeNet,features.7.squeeze,7.976631,8.031590,1.977792,1.974283,8.055282
SqueezeNet,features.7.expand1x1,7.816794,6.774547,1.901815,1.855151,6.911726
