model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,3.986597,2.688160,0.369854,0.367478,4.031028
ResNet50,layer1.0.conv1,3.972023,2.896731,0.485075,0.477262,4.271071
ResNet50,layer1.0.conv2,3.998400,3.902099,0.731658,0.730082,5.248579
ResNet50,layer1.0.conv3,3.979305,3.493636,0.708926,0.693384,4.886467
ResNet50,layer1.0.downsample.0,3.980454,2.895501,0.489502,0.481631,4.269656
ResNet50,layer1.1.conv1,3.994685,3.730474,0.705889,0.701955,5.094571
ResNet50,layer1.1.conv2,3.996531,4.268660,0.879327,0.877078,5.570278
ResNet50,layer1.1.conv3,3.971279,4.038283,0.943265,0.915947,5.395501
ResNet50,layer1.2.conv1,3.992203,3.433793,0.578955,0.576160,4.810758
ResNet50,layer1.2.conv2,3.996531,4.212013,0.854937,0.852811,5.521824
ResNet50,layer1.2.conv3,3.968992,4.325410,1.096897,1.060129,5.645908
ResNet50,layer2.0.conv1,3.992203,3.333948,0.552760,0.550227,4.711909
ResNet50,layer2.0.conv2,3.998265,4.158672,0.876144,0.878472,5.474160
ResNet50,layer2.0.conv3,4.058720,3.414528,0.703251,0.697104,4.797033
ResNet50,layer2.0.downsample.0,4.062317,3.159918,0.563635,0.561982,4.535224
ResNet50,layer2.1.conv1,3.996098,3.935051,0.833974,0.834206,5.278686
ResNet50,layer2.1.conv2,3.998265,3.770763,0.719963,0.721535,5.127024
ResNet50,layer2.1.conv3,3.985956,3.263881,0.650802,0.645535,4.646771
ResNet50,layer2.2.conv1,3.996098,3.585217,0.698919,0.699082,4.954431
ResNet50,layer2.2.conv2,3.998265,3.845186,0.747646,0.749340,5.195386
ResNet50,layer2.2.conv3,3.984436,3.296121,0.661770,0.656324,4.679344
ResNet50,layer2.3.conv1,3.996098,3.641088,0.719674,0.719847,5.007523
ResNet50,layer2.3.conv2,3.998265,3.985203,0.802548,0.804501,5.321700
ResNet50,layer2.3.conv3,3.984436,3.557862,0.756782,0.749668,4.937161
ResNet50,layer3.0.conv1,3.996098,3.504674,0.668913,0.668856,4.876989
ResNet50,layer3.0.conv2,3.999132,3.426716,0.581757,0.584893,4.798806
ResNet50,layer3.0.conv3,4.021697,2.856855,0.475514,0.474348,4.214482
ResNet50,layer3.0.downsample.0,4.030686,2.875286,0.455110,0.454916,4.232348
ResNet50,layer3.1.conv1,3.998048,3.294966,0.594805,0.597483,4.668848
ResNet50,layer3.1.conv2,3.999132,3.257994,0.532879,0.535582,4.630883
ResNet50,layer3.1.conv3,3.995459,2.884680,0.480421,0.479230,4.244740
ResNet50,layer3.2.conv1,3.998048,3.175564,0.559820,0.562191,4.547701
ResNet50,layer3.2.conv2,3.999132,3.319448,0.548495,0.551360,4.692626
ResNet50,layer3.2.conv3,3.993830,2.889407,0.481189,0.479995,4.249859
ResNet50,layer3.3.conv1,3.998048,3.191560,0.564134,0.566542,4.564081
ResNet50,layer3.3.conv2,3.999132,3.392584,0.572729,0.575769,4.765237
ResNet50,layer3.3.conv3,3.993830,2.882713,0.479575,0.478388,4.242614
ResNet50,layer3.4.conv1,3.998048,3.230650,0.575163,0.577667,4.603912
ResNet50,layer3.4.conv2,3.999132,3.403013,0.575429,0.578498,4.775515
ResNet50,layer3.4.conv3,3.992203,2.901288,0.485200,0.483980,4.262700
ResNet50,layer3.5.conv1,3.998048,3.311651,0.598535,0.601247,4.685574
ResNet50,layer3.5.conv2,3.999132,3.446117,0.586571,0.589760,4.817798
ResNet50,layer3.5.conv3,3.992203,2.897627,0.484297,0.483081,4.258747
ResNet50,layer4.0.conv1,3.998048,3.094009,0.511096,0.512133,4.463457
ResNet50,layer4.0.conv2,3.999566,2.832534,0.381738,0.382891,4.183980
ResNet50,layer4.0.conv3,3.996098,2.721160,0.393871,0.393425,4.063008
ResNet50,layer4.0.downsample.0,3.998048,2.727164,0.376880,0.376815,4.068685
ResNet50,layer4.1.conv1,3.999024,2.797827,0.411311,0.412469,4.146288
ResNet50,layer4.1.conv2,3.999566,2.825996,0.380502,0.381646,4.176844
ResNet50,layer4.1.conv3,3.996098,2.719036,0.393354,0.392909,4.060639
ResNet50,layer4.2.conv1,3.999024,2.776507,0.407286,0.408420,4.122830
ResNet50,layer4.2.conv2,3.999566,2.828436,0.380830,0.381977,4.179509
ResNet50,layer4.2.conv3,3.996098,2.724011,0.394411,0.393973,4.066185
GoogLeNet,conv1.conv,3.986441,2.687939,0.369823,0.367447,4.030779
GoogLeNet,conv2.conv,3.968992,3.146775,0.555649,0.545421,4.536870
GoogLeNet,conv3.conv,3.996531,3.527665,0.583361,0.582315,4.898880
GoogLeNet,inception3a.branch1.conv,3.989610,3.020523,0.547707,0.545809,4.391575
GoogLeNet,inception3a.branch2.0.conv,3.989610,3.006834,0.543416,0.541538,4.377089
GoogLeNet,inception3a.branch2.1.conv,3.997687,3.705404,0.705177,0.706285,5.066736
GoogLeNet,inception3a.branch3.0.conv,3.989610,3.041358,0.549240,0.547295,4.413555
GoogLeNet,inception3a.branch3.1.conv,3.986159,3.741600,0.838817,0.832293,5.109897
GoogLeNet,inception3a.branch4.1.conv,3.989610,2.784797,0.454781,0.453370,4.137005
GoogLeNet,inception3b.branch1.conv,3.992203,3.669083,0.772958,0.770708,5.037030
GoogLeNet,inception3b.branch2.0.conv,3.992203,3.666749,0.772130,0.769884,5.034830
GoogLeNet,inception3b.branch2.1.conv,3.998265,4.025293,0.823857,0.825692,5.357326
