model name,layer name,sparse cycles,dense cycles
ResNet50,conv1,917952,921984
ResNet50,layer1.0.conv1,90688,102400
ResNet50,layer1.0.conv2,504960,921600
ResNet50,layer1.0.conv3,264704,409600
ResNet50,layer1.0.downsample.0,362752,409600
ResNet50,layer1.1.conv1,248384,409600
ResNet50,layer1.1.conv2,413632,921600
ResNet50,layer1.1.conv3,197888,409600
ResNet50,layer1.2.conv1,306560,409600
ResNet50,layer1.2.conv2,422592,921600
ResNet50,layer1.2.conv3,169216,409600
ResNet50,layer2.0.conv1,670080,819200
ResNet50,layer2.0.conv2,406912,1032192
ResNet50,layer2.0.conv3,256000,458752
ResNet50,layer2.0.downsample.0,755200,917504
ResNet50,layer2.1.conv1,225792,458752
ResNet50,layer2.1.conv2,496512,1032192
ResNet50,layer2.1.conv3,264704,458752
ResNet50,layer2.2.conv1,297344,458752
ResNet50,layer2.2.conv2,480768,1032192
ResNet50,layer2.2.conv3,258048,458752
ResNet50,layer2.3.conv1,265088,458752
ResNet50,layer2.3.conv2,435584,1032192
ResNet50,layer2.3.conv3,184832,458752
ResNet50,layer3.0.conv1,533504,917504
ResNet50,layer3.0.conv2,397568,1179648
ResNet50,layer3.0.conv3,338944,524288
ResNet50,layer3.0.downsample.0,649216,1048576
ResNet50,layer3.1.conv1,247808,524288
ResNet50,layer3.1.conv2,551936,1179648
ResNet50,layer3.1.conv3,239616,524288
ResNet50,layer3.2.conv1,309248,524288
ResNet50,layer3.2.conv2,488192,1179648
ResNet50,layer3.2.conv3,215040,524288
ResNet50,layer3.3.conv1,288512,524288
ResNet50,layer3.3.conv2,415744,1179648
ResNet50,layer3.3.conv3,226304,524288
ResNet50,layer3.4.conv1,267776,524288
ResNet50,layer3.4.conv2,390400,1179648
ResNet50,layer3.4.conv3,214016,524288
ResNet50,layer3.5.conv1,233728,524288
ResNet50,layer3.5.conv2,365824,1179648
ResNet50,layer3.5.conv3,204800,524288
ResNet50,layer4.0.conv1,416256,1048576
ResNet50,layer4.0.conv2,576000,2359296
ResNet50,layer4.0.conv3,495616,1048576
ResNet50,layer4.0.downsample.0,808960,2097152
ResNet50,layer4.1.conv1,502784,1048576
ResNet50,layer4.1.conv2,658432,2359296
ResNet50,layer4.1.conv3,475136,1048576
ResNet50,layer4.2.conv1,630784,1048576
ResNet50,layer4.2.conv2,808448,2359296
ResNet50,layer4.2.conv3,673792,1048576
ResNet34,conv1,917952,921984
ResNet34,layer1.0.conv1,666880,921600
ResNet34,layer1.0.conv2,545216,921600
ResNet34,layer1.1.conv1,768384,921600
ResNet34,layer1.1.conv2,471168,921600
ResNet34,layer1.2.conv1,795072,921600
ResNet34,layer1.2.conv2,346624,921600
ResNet34,layer2.0.conv1,438784,516096
ResNet34,layer2.0.conv2,402688,1032192
ResNet34,layer2.0.downsample.0,51968,57344
ResNet34,layer2.1.conv1,605184,1032192
ResNet34,layer2.1.conv2,348800,1032192
ResNet34,layer2.2.conv1,625664,1032192
ResNet34,layer2.2.conv2,236544,1032192
ResNet34,layer2.3.conv1,625024,1032192
ResNet34,layer2.3.conv2,159616,1032192
ResNet34,layer3.0.conv1,461056,589824
ResNet34,layer3.0.conv2,472832,1179648
ResNet34,layer3.0.downsample.0,53760,65536
ResNet34,layer3.1.conv1,671744,1179648
ResNet34,layer3.1.conv2,263424,1179648
ResNet34,layer3.2.conv1,751360,1179648
ResNet34,layer3.2.conv2,204544,1179648
ResNet34,layer3.3.conv1,787456,1179648
ResNet34,layer3.3.conv2,192256,1179648
ResNet34,layer3.4.conv1,801536,1179648
ResNet34,layer3.4.conv2,182016,1179648
ResNet34,layer3.5.conv1,702464,1179648
ResNet34,layer3.5.conv2,173568,1179648
ResNet34,layer4.0.conv1,603136,1179648
ResNet34,layer4.0.conv2,562176,2359296
ResNet34,layer4.0.downsample.0,88576,131072
ResNet34,layer4.1.conv1,1003520,2359296
ResNet34,layer4.1.conv2,456192,2359296
ResNet34,layer4.2.conv1,1442304,2359296
ResNet34,layer4.2.conv2,850432,2359296
ResNet18,conv1,917952,921984
ResNet18,layer1.0.conv1,678400,921600
ResNet18,layer1.0.conv2,523392,921600
ResNet18,layer1.1.conv1,741888,921600
ResNet18,layer1.1.conv2,435200,921600
ResNet18,layer2.0.conv1,387200,516096
ResNet18,layer2.0.conv2,404608,1032192
ResNet18,layer2.0.downsample.0,46464,57344
ResNet18,layer2.1.conv1,511872,1032192
ResNet18,layer2.1.conv2,240000,1032192
ResNet18,layer3.0.conv1,345088,589824
ResNet18,layer3.0.conv2,448768,1179648
ResNet18,layer3.0.downsample.0,41984,65536
ResNet18,layer3.1.conv1,550656,1179648
ResNet18,layer3.1.conv2,261888,1179648
ResNet18,layer4.0.conv1,630272,1179648
ResNet18,layer4.0.conv2,600576,2359296
ResNet18,layer4.0.downsample.0,89600,131072
ResNet18,layer4.1.conv1,591360,2359296
ResNet18,layer4.1.conv2,910848,2359296
AlexNet,features.0,555456,557568
AlexNet,features.3,1415616,1843200
AlexNet,features.6,767232,1327104
AlexNet,features.8,337152,1769472
AlexNet,features.10,329728,1179648
VGG16,features.0,675648,677376
VGG16,features.2,7254144,14450688
VGG16,features.5,4965120,7225344
VGG16,features.7,5797504,14450688
VGG16,features.10,4082176,7372800
VGG16,features.12,5536256,14745600
VGG16,features.14,4590592,14745600
VGG16,features.17,2583040,8257536
VGG16,features.19,3450880,16515072
VGG16,features.21,2932736,16515072
VGG16,features.24,1286144,4718592
VGG16,features.26,973824,4718592
VGG16,features.28,1138176,4718592
SqueezeNet,features.0,1312416,1312416
SqueezeNet,features.3.squeeze,30944,35328
SqueezeNet,features.3.expand1x1,20736,23552
SqueezeNet,features.3.expand3x3,180608,211968
SqueezeNet,features.4.squeeze,22656,47104
SqueezeNet,features.4.expand1x1,21312,23552
SqueezeNet,features.4.expand3x3,185472,211968
SqueezeNet,features.5.squeeze,54560,94208
SqueezeNet,features.5.expand1x1,68608,94208
SqueezeNet,features.5.expand3x3,579840,847872
SqueezeNet,features.7.squeeze,40352,49152
SqueezeNet,features.7.expand1x1,23168,24576
SqueezeNet,features.7.expand3x3,200320,221184
