model name,layer name,sparse cycles,dense cycles
AlexNet,features.0,388950,557568
AlexNet,features.3,988798,1843200
AlexNet,features.6,532672,1327104
AlexNet,features.8,240657,1769472
AlexNet,features.10,218867,1179648
InceptionV3,Conv2d_1a_3x3.conv,58685,83808
InceptionV3,Conv2d_2a_3x3.conv,308124,857088
InceptionV3,Conv2d_2b_3x3.conv,695803,1714176
InceptionV3,Conv2d_3b_1x1.conv,74943,117760
InceptionV3,Conv2d_4a_3x3.conv,1469760,3041280
InceptionV3,Mixed_5b.branch1x1.conv,39251,61440
InceptionV3,Mixed_5b.branch5x5_1.conv,29340,46080
InceptionV3,Mixed_5b.branch5x5_2.conv,186398,384000
InceptionV3,Mixed_5b.branch3x3dbl_1.conv,38998,61440
InceptionV3,Mixed_5b.branch3x3dbl_2.conv,117935,276480
InceptionV3,Mixed_5b.branch3x3dbl_3.conv,134204,414720
InceptionV3,Mixed_5b.branch_pool.conv,21058,30720
InceptionV3,Mixed_5c.branch1x1.conv,34324,81920
InceptionV3,Mixed_5c.branch5x5_1.conv,25113,61440
InceptionV3,Mixed_5c.branch5x5_2.conv,142229,384000
InceptionV3,Mixed_5c.branch3x3dbl_1.conv,33847,81920
InceptionV3,Mixed_5c.branch3x3dbl_2.conv,113700,276480
InceptionV3,Mixed_5c.branch3x3dbl_3.conv,113072,414720
InceptionV3,Mixed_5c.branch_pool.conv,47680,81920
InceptionV3,Mixed_5d.branch1x1.conv,34021,92160
InceptionV3,Mixed_5d.branch5x5_1.conv,24931,69120
InceptionV3,Mixed_5d.branch5x5_2.conv,137770,384000
InceptionV3,Mixed_5d.branch3x3dbl_1.conv,34188,92160
InceptionV3,Mixed_5d.branch3x3dbl_2.conv,105889,276480
InceptionV3,Mixed_5d.branch3x3dbl_3.conv,127899,414720
InceptionV3,Mixed_5d.branch_pool.conv,52731,92160
InceptionV3,Mixed_6a.branch3x3.conv,688875,1990656
InceptionV3,Mixed_6a.branch3x3dbl_1.conv,32029,92160
InceptionV3,Mixed_6a.branch3x3dbl_2.conv,75465,276480
InceptionV3,Mixed_6a.branch3x3dbl_3.conv,26188,165888
InceptionV3,Mixed_6b.branch1x1.conv,116832,294912
InceptionV3,Mixed_6b.branch7x7_1.conv,76242,196608
InceptionV3,Mixed_6b.branch7x7_2.conv,26131,114688
InceptionV3,Mixed_6b.branch7x7_3.conv,99678,344064
InceptionV3,Mixed_6b.branch7x7dbl_1.conv,79401,196608
InceptionV3,Mixed_6b.branch7x7dbl_2.conv,59204,229376
InceptionV3,Mixed_6b.branch7x7dbl_3.conv,35175,114688
InceptionV3,Mixed_6b.branch7x7dbl_4.conv,64656,229376
InceptionV3,Mixed_6b.branch7x7dbl_5.conv,58405,172032
InceptionV3,Mixed_6b.branch_pool.conv,178564,294912
InceptionV3,Mixed_6c.branch1x1.conv,78589,294912
InceptionV3,Mixed_6c.branch7x7_1.conv,65435,245760
InceptionV3,Mixed_6c.branch7x7_2.conv,43098,179200
InceptionV3,Mixed_6c.branch7x7_3.conv,120767,430080
InceptionV3,Mixed_6c.branch7x7dbl_1.conv,66199,245760
InceptionV3,Mixed_6c.branch7x7dbl_2.conv,77711,358400
InceptionV3,Mixed_6c.branch7x7dbl_3.conv,44782,179200
InceptionV3,Mixed_6c.branch7x7dbl_4.conv,76637,358400
InceptionV3,Mixed_6c.branch7x7dbl_5.conv,67839,215040
InceptionV3,Mixed_6c.branch_pool.conv,138275,294912
InceptionV3,Mixed_6d.branch1x1.conv,69418,294912
InceptionV3,Mixed_6d.branch7x7_1.conv,57819,245760
InceptionV3,Mixed_6d.branch7x7_2.conv,42488,179200
InceptionV3,Mixed_6d.branch7x7_3.conv,95521,430080
InceptionV3,Mixed_6d.branch7x7dbl_1.conv,57398,245760
InceptionV3,Mixed_6d.branch7x7dbl_2.conv,74412,358400
InceptionV3,Mixed_6d.branch7x7dbl_3.conv,46130,179200
InceptionV3,Mixed_6d.branch7x7dbl_4.conv,72324,358400
InceptionV3,Mixed_6d.branch7x7dbl_5.conv,72539,215040
InceptionV3,Mixed_6d.branch_pool.conv,130181,294912
InceptionV3,Mixed_6e.branch1x1.conv,78300,294912
InceptionV3,Mixed_6e.branch7x7_1.conv,78125,294912
InceptionV3,Mixed_6e.branch7x7_2.conv,44298,258048
InceptionV3,Mixed_6e.branch7x7_3.conv,128963,516096
InceptionV3,Mixed_6e.branch7x7dbl_1.conv,78765,294912
InceptionV3,Mixed_6e.branch7x7dbl_2.conv,98369,516096
InceptionV3,Mixed_6e.branch7x7dbl_3.conv,46535,258048
InceptionV3,Mixed_6e.branch7x7dbl_4.conv,85898,516096
InceptionV3,Mixed_6e.branch7x7dbl_5.conv,84191,258048
InceptionV3,Mixed_6e.branch_pool.conv,139838,294912
InceptionV3,Mixed_7a.branch3x3_1.conv,44614,294912
InceptionV3,Mixed_7a.branch3x3_2.conv,77217,552960
InceptionV3,Mixed_7a.branch7x7x3_1.conv,43788,294912
InceptionV3,Mixed_7a.branch7x7x3_2.conv,59144,258048
InceptionV3,Mixed_7a.branch7x7x3_3.conv,145307,516096
InceptionV3,Mixed_7a.branch7x7x3_4.conv,72552,331776
InceptionV3,Mixed_7b.branch1x1.conv,114158,409600
InceptionV3,Mixed_7b.branch3x3_1.conv,136667,491520
InceptionV3,Mixed_7b.branch3x3_2a.conv,100938,442368
InceptionV3,Mixed_7b.branch3x3_2b.conv,99539,442368
InceptionV3,Mixed_7b.branch3x3dbl_1.conv,158649,573440
InceptionV3,Mixed_7b.branch3x3dbl_2.conv,221421,1548288
InceptionV3,Mixed_7b.branch3x3dbl_3a.conv,135500,442368
InceptionV3,Mixed_7b.branch3x3dbl_3b.conv,122816,442368
InceptionV3,Mixed_7b.branch_pool.conv,118276,245760
InceptionV3,Mixed_7c.branch1x1.conv,75094,655360
InceptionV3,Mixed_7c.branch3x3_1.conv,90314,786432
InceptionV3,Mixed_7c.branch3x3_2a.conv,42106,442368
InceptionV3,Mixed_7c.branch3x3_2b.conv,44182,442368
InceptionV3,Mixed_7c.branch3x3dbl_1.conv,105335,917504
InceptionV3,Mixed_7c.branch3x3dbl_2.conv,120324,1548288
InceptionV3,Mixed_7c.branch3x3dbl_3a.conv,226086,442368
InceptionV3,Mixed_7c.branch3x3dbl_3b.conv,199990,442368
InceptionV3,Mixed_7c.branch_pool.conv,115966,393216
ResNet18,conv1,642760,921984
ResNet18,layer1.0.conv1,551237,921600
ResNet18,layer1.0.conv2,374811,921600
ResNet18,layer1.1.conv1,524680,921600
ResNet18,layer1.1.conv2,304116,921600
ResNet18,layer2.0.conv1,271308,516096
ResNet18,layer2.0.conv2,288693,1032192
ResNet18,layer2.0.downsample.0,32105,57344
ResNet18,layer2.1.conv1,364261,1032192
ResNet18,layer2.1.conv2,166623,1032192
ResNet18,layer3.0.conv1,247998,589824
ResNet18,layer3.0.conv2,324708,1179648
ResNet18,layer3.0.downsample.0,30983,65536
ResNet18,layer3.1.conv1,391148,1179648
ResNet18,layer3.1.conv2,187276,1179648
ResNet18,layer4.0.conv1,441579,1179648
ResNet18,layer4.0.conv2,425397,2359296
ResNet18,layer4.0.downsample.0,62128,131072
ResNet18,layer4.1.conv1,418303,2359296
ResNet18,layer4.1.conv2,651750,2359296
ResNet34,conv1,642718,921984
ResNet34,layer1.0.conv1,560547,921600
ResNet34,layer1.0.conv2,391813,921600
ResNet34,layer1.1.conv1,543120,921600
ResNet34,layer1.1.conv2,338454,921600
ResNet34,layer1.2.conv1,561219,921600
ResNet34,layer1.2.conv2,247282,921600
ResNet34,layer2.0.conv1,307228,516096
ResNet34,layer2.0.conv2,289631,1032192
ResNet34,layer2.0.downsample.0,36116,57344
ResNet34,layer2.1.conv1,426555,1032192
ResNet34,layer2.1.conv2,244399,1032192
ResNet34,layer2.2.conv1,443632,1032192
ResNet34,layer2.2.conv2,166978,1032192
ResNet34,layer2.3.conv1,439931,1032192
ResNet34,layer2.3.conv2,111586,1032192
ResNet34,layer3.0.conv1,327261,589824
ResNet34,layer3.0.conv2,336911,1179648
ResNet34,layer3.0.downsample.0,37661,65536
ResNet34,layer3.1.conv1,475549,1179648
ResNet34,layer3.1.conv2,191005,1179648
ResNet34,layer3.2.conv1,525134,1179648
ResNet34,layer3.2.conv2,149931,1179648
ResNet34,layer3.3.conv1,548352,1179648
ResNet34,layer3.3.conv2,137528,1179648
ResNet34,layer3.4.conv1,556958,1179648
ResNet34,layer3.4.conv2,131394,1179648
ResNet34,layer3.5.conv1,488363,1179648
ResNet34,layer3.5.conv2,125482,1179648
ResNet34,layer4.0.conv1,427093,1179648
ResNet34,layer4.0.conv2,401727,2359296
ResNet34,layer4.0.downsample.0,61432,131072
ResNet34,layer4.1.conv1,719824,2359296
ResNet34,layer4.1.conv2,319136,2359296
ResNet34,layer4.2.conv1,1021535,2359296
ResNet34,layer4.2.conv2,655017,2359296
ResNet50,conv1,642855,921984
ResNet50,layer1.0.conv1,65542,102400
ResNet50,layer1.0.conv2,389093,921600
ResNet50,layer1.0.conv3,200234,409600
ResNet50,layer1.0.downsample.0,260663,409600
ResNet50,layer1.1.conv1,193572,409600
ResNet50,layer1.1.conv2,315204,921600
ResNet50,layer1.1.conv3,138565,409600
ResNet50,layer1.2.conv1,221207,409600
ResNet50,layer1.2.conv2,307683,921600
ResNet50,layer1.2.conv3,118261,409600
ResNet50,layer2.0.conv1,463950,819200
ResNet50,layer2.0.conv2,290505,1032192
ResNet50,layer2.0.conv3,181358,458752
ResNet50,layer2.0.downsample.0,529445,917504
ResNet50,layer2.1.conv1,183104,458752
ResNet50,layer2.1.conv2,355934,1032192
ResNet50,layer2.1.conv3,195826,458752
ResNet50,layer2.2.conv1,212217,458752
ResNet50,layer2.2.conv2,338494,1032192
ResNet50,layer2.2.conv3,183303,458752
ResNet50,layer2.3.conv1,185913,458752
ResNet50,layer2.3.conv2,311295,1032192
ResNet50,layer2.3.conv3,132055,458752
ResNet50,layer3.0.conv1,368853,917504
ResNet50,layer3.0.conv2,279031,1179648
ResNet50,layer3.0.conv3,243764,524288
ResNet50,layer3.0.downsample.0,454845,1048576
ResNet50,layer3.1.conv1,186273,524288
ResNet50,layer3.1.conv2,387664,1179648
ResNet50,layer3.1.conv3,170433,524288
ResNet50,layer3.2.conv1,220469,524288
ResNet50,layer3.2.conv2,342978,1179648
ResNet50,layer3.2.conv3,155025,524288
ResNet50,layer3.3.conv1,202701,524288
ResNet50,layer3.3.conv2,296588,1179648
ResNet50,layer3.3.conv3,158431,524288
ResNet50,layer3.4.conv1,188405,524288
ResNet50,layer3.4.conv2,285495,1179648
ResNet50,layer3.4.conv3,150758,524288
ResNet50,layer3.5.conv1,160893,524288
ResNet50,layer3.5.conv2,260473,1179648
ResNet50,layer3.5.conv3,144716,524288
ResNet50,layer4.0.conv1,281011,1048576
ResNet50,layer4.0.conv2,417605,2359296
ResNet50,layer4.0.conv3,358114,1048576
ResNet50,layer4.0.downsample.0,577002,2097152
ResNet50,layer4.1.conv1,357512,1048576
ResNet50,layer4.1.conv2,447523,2359296
ResNet50,layer4.1.conv3,328504,1048576
ResNet50,layer4.2.conv1,441974,1048576
ResNet50,layer4.2.conv2,585370,2359296
ResNet50,layer4.2.conv3,492551,1048576
SqueezeNet,features.0,918654,1312416
SqueezeNet,features.3.squeeze,21792,35328
SqueezeNet,features.3.expand1x1,14506,23552
SqueezeNet,features.3.expand3x3,126487,211968
SqueezeNet,features.4.squeeze,16171,47104
SqueezeNet,features.4.expand1x1,14919,23552
SqueezeNet,features.4.expand3x3,128604,211968
SqueezeNet,features.5.squeeze,37476,94208
SqueezeNet,features.5.expand1x1,46805,94208
SqueezeNet,features.5.expand3x3,401599,847872
SqueezeNet,features.7.squeeze,28080,49152
SqueezeNet,features.7.expand1x1,16009,24576
SqueezeNet,features.7.expand3x3,139551,221184
SqueezeNet,features.8.squeeze,29468,73728
SqueezeNet,features.8.expand1x1,32513,55296
SqueezeNet,features.8.expand3x3,288479,497664
SqueezeNet,features.9.squeeze,39556,110592
SqueezeNet,features.9.expand1x1,33439,55296
SqueezeNet,features.9.expand3x3,286286,497664
SqueezeNet,features.10.squeeze,47043,147456
SqueezeNet,features.10.expand1x1,45938,98304
SqueezeNet,features.10.expand3x3,403661,884736
SqueezeNet,features.12.squeeze,27168,65536
SqueezeNet,features.12.expand1x1,19370,32768
SqueezeNet,features.12.expand3x3,171866,294912
SqueezeNet,classifier.1,124147,1024000
VGG16,features.0,473154,677376
VGG16,features.2,5304930,14450688
VGG16,features.5,3553957,7225344
VGG16,features.7,4110581,14450688
VGG16,features.10,2890212,7372800
VGG16,features.12,3871536,14745600
VGG16,features.14,3242742,14745600
VGG16,features.17,1873159,8257536
VGG16,features.19,2395440,16515072
VGG16,features.21,2139468,16515072
VGG16,features.24,942392,4718592
VGG16,features.26,710194,4718592
VGG16,features.28,820554,4718592
