model name,layer name,sparse cycles,dense cycles
ResNet50,conv1,877401,921984
ResNet50,layer1.0.conv1,80689,102400
ResNet50,layer1.0.conv2,459313,921600
ResNet50,layer1.0.conv3,236983,409600
ResNet50,layer1.0.downsample.0,324012,409600
ResNet50,layer1.1.conv1,221834,409600
ResNet50,layer1.1.conv2,396942,921600
ResNet50,layer1.1.conv3,185697,409600
ResNet50,layer1.2.conv1,269763,409600
ResNet50,layer1.2.conv2,407456,921600
ResNet50,layer1.2.conv3,156307,409600
ResNet50,layer2.0.conv1,571158,819200
ResNet50,layer2.0.conv2,389711,1032192
ResNet50,layer2.0.conv3,223481,458752
ResNet50,layer2.0.downsample.0,579057,917504
ResNet50,layer2.1.conv1,210188,458752
ResNet50,layer2.1.conv2,469743,1032192
ResNet50,layer2.1.conv3,253111,458752
ResNet50,layer2.2.conv1,255923,458752
ResNet50,layer2.2.conv2,457971,1032192
ResNet50,layer2.2.conv3,251987,458752
ResNet50,layer2.3.conv1,247030,458752
ResNet50,layer2.3.conv2,419458,1032192
ResNet50,layer2.3.conv3,179542,458752
ResNet50,layer3.0.conv1,497361,917504
ResNet50,layer3.0.conv2,371236,1179648
ResNet50,layer3.0.conv3,320685,524288
ResNet50,layer3.0.downsample.0,599593,1048576
ResNet50,layer3.1.conv1,235606,524288
ResNet50,layer3.1.conv2,520008,1179648
ResNet50,layer3.1.conv3,226976,524288
ResNet50,layer3.2.conv1,274875,524288
ResNet50,layer3.2.conv2,464491,1179648
ResNet50,layer3.2.conv3,211869,524288
ResNet50,layer3.3.conv1,269282,524288
ResNet50,layer3.3.conv2,390190,1179648
ResNet50,layer3.3.conv3,211206,524288
ResNet50,layer3.4.conv1,242838,524288
ResNet50,layer3.4.conv2,371432,1179648
ResNet50,layer3.4.conv3,205878,524288
ResNet50,layer3.5.conv1,212101,524288
ResNet50,layer3.5.conv2,337589,1179648
ResNet50,layer3.5.conv3,193154,524288
ResNet50,layer4.0.conv1,366181,1048576
ResNet50,layer4.0.conv2,547150,2359296
ResNet50,layer4.0.conv3,465762,1048576
ResNet50,layer4.0.downsample.0,714729,2097152
ResNet50,layer4.1.conv1,454053,1048576
ResNet50,layer4.1.conv2,601951,2359296
ResNet50,layer4.1.conv3,434248,1048576
ResNet50,layer4.2.conv1,589719,1048576
ResNet50,layer4.2.conv2,762307,2359296
ResNet50,layer4.2.conv3,631808,1048576
GoogLeNet,conv1.conv,899550,921984
GoogLeNet,conv2.conv,75552,102400
GoogLeNet,conv3.conv,1724479,2764800
GoogLeNet,inception3a.branch1.conv,68244,86016
GoogLeNet,inception3a.branch2.0.conv,102851,129024
GoogLeNet,inception3a.branch2.1.conv,384850,774144
GoogLeNet,inception3a.branch3.0.conv,17088,21504
GoogLeNet,inception3a.branch3.1.conv,16752,32256
GoogLeNet,inception3a.branch4.1.conv,38875,43008
GoogLeNet,inception3b.branch1.conv,123650,229376
GoogLeNet,inception3b.branch2.0.conv,124219,229376
GoogLeNet,inception3b.branch2.1.conv,558176,1548288
GoogLeNet,inception3b.branch3.0.conv,31102,57344
GoogLeNet,inception3b.branch3.1.conv,119770,193536
GoogLeNet,inception3b.branch4.1.conv,90293,114688
GoogLeNet,inception4a.branch1.conv,141271,184320
GoogLeNet,inception4a.branch2.0.conv,70316,92160
GoogLeNet,inception4a.branch2.1.conv,162260,359424
GoogLeNet,inception4a.branch3.0.conv,11398,15360
GoogLeNet,inception4a.branch3.1.conv,10770,13824
GoogLeNet,inception4a.branch4.1.conv,57662,61440
GoogLeNet,inception4b.branch1.conv,69323,163840
GoogLeNet,inception4b.branch2.0.conv,48241,114688
GoogLeNet,inception4b.branch2.1.conv,192645,451584
GoogLeNet,inception4b.branch3.0.conv,10299,24576
GoogLeNet,inception4b.branch3.1.conv,16513,27648
GoogLeNet,inception4b.branch4.1.conv,51117,65536
GoogLeNet,inception4c.branch1.conv,55286,131072
GoogLeNet,inception4c.branch2.0.conv,55161,131072
GoogLeNet,inception4c.branch2.1.conv,234574,589824
GoogLeNet,inception4c.branch3.0.conv,10277,24576
GoogLeNet,inception4c.branch3.1.conv,13166,27648
GoogLeNet,inception4c.branch4.1.conv,49533,65536
GoogLeNet,inception4d.branch1.conv,46932,114688
GoogLeNet,inception4d.branch2.0.conv,60498,147456
GoogLeNet,inception4d.branch2.1.conv,297234,746496
GoogLeNet,inception4d.branch3.0.conv,13335,32768
GoogLeNet,inception4d.branch3.1.conv,20770,36864
GoogLeNet,inception4d.branch4.1.conv,50575,65536
GoogLeNet,inception4e.branch1.conv,103858,270336
GoogLeNet,inception4e.branch2.0.conv,64904,168960
GoogLeNet,inception4e.branch2.1.conv,293979,921600
GoogLeNet,inception4e.branch3.0.conv,12907,33792
GoogLeNet,inception4e.branch3.1.conv,52476,73728
GoogLeNet,inception4e.branch4.1.conv,98163,135168
GoogLeNet,inception5a.branch1.conv,66006,212992
GoogLeNet,inception5a.branch2.0.conv,41160,133120
GoogLeNet,inception5a.branch2.1.conv,182054,460800
GoogLeNet,inception5a.branch3.0.conv,8228,26624
GoogLeNet,inception5a.branch3.1.conv,28708,36864
GoogLeNet,inception5a.branch4.1.conv,75516,106496
GoogLeNet,inception5b.branch1.conv,81195,319488
GoogLeNet,inception5b.branch2.0.conv,40968,159744
GoogLeNet,inception5b.branch2.1.conv,163223,663552
GoogLeNet,inception5b.branch3.0.conv,10228,39936
GoogLeNet,inception5b.branch3.1.conv,18888,55296
GoogLeNet,inception5b.branch4.1.conv,61106,106496
InceptionV3,Conv2d_1a_3x3.conv,83420,83808
InceptionV3,Conv2d_2a_3x3.conv,399592,857088
InceptionV3,Conv2d_2b_3x3.conv,1549583,1714176
InceptionV3,Conv2d_3b_1x1.conv,103809,117760
InceptionV3,Conv2d_4a_3x3.conv,2036026,3041280
InceptionV3,Mixed_5b.branch1x1.conv,54737,61440
InceptionV3,Mixed_5b.branch5x5_1.conv,40645,46080
InceptionV3,Mixed_5b.branch5x5_2.conv,246737,384000
