engine num,pe num,mult num,chunk size,fifo capacity,weight sparsity,input sparsity,ca cycle,sa cycle,gain
1,64,1,4,12,0.0,0.0,4206,5504,1.308607
1,64,1,4,12,0.1,0.3,3175,5504,1.733543
1,64,1,4,12,0.3,0.5,2041,5504,2.696717
1,64,1,4,12,0.5,0.7,1427,5504,3.857043
1,64,1,4,12,0.7,0.9,1181,5504,4.660457
2,32,1,4,12,0.0,0.0,4147,5504,1.327224
2,32,1,4,12,0.1,0.3,3221,5504,1.708786
2,32,1,4,12,0.3,0.5,2088,5504,2.636015
2,32,1,4,12,0.5,0.7,1394,5504,3.948350
2,32,1,4,12,0.7,0.9,1128,5504,4.879433
4,16,1,4,12,0.0,0.0,4115,5504,1.337546
4,16,1,4,12,0.1,0.3,3375,5504,1.630815
4,16,1,4,12,0.3,0.5,2234,5504,2.463742
4,16,1,4,12,0.5,0.7,1442,5504,3.816921
4,16,1,4,12,0.7,0.9,1100,5504,5.003636
1,32,2,4,12,0.0,0.0,4156,5504,1.324350
1,32,2,4,12,0.1,0.3,3542,5504,1.553924
1,32,2,4,12,0.3,0.5,2586,5504,2.128384
1,32,2,4,12,0.5,0.7,2204,5504,2.497278
1,32,2,4,12,0.7,0.9,2110,5504,2.608531
2,16,2,4,12,0.0,0.0,4124,5504,1.334627
2,16,2,4,12,0.1,0.3,3597,5504,1.530164
2,16,2,4,12,0.3,0.5,2640,5504,2.084848
2,16,2,4,12,0.5,0.7,2188,5504,2.515539
2,16,2,4,12,0.7,0.9,2079,5504,2.647427
1,64,1,4,8,0.0,0.0,4607,5504,1.194704
1,64,1,4,8,0.1,0.3,3438,5504,1.600931
1,64,1,4,8,0.3,0.5,2293,5504,2.400349
1,64,1,4,8,0.5,0.7,1671,5504,3.293836
1,64,1,4,8,0.7,0.9,1455,5504,3.782818
2,32,1,4,8,0.0,0.0,4536,5504,1.213404
2,32,1,4,8,0.1,0.3,3560,5504,1.546067
2,32,1,4,8,0.3,0.5,2278,5504,2.416155
2,32,1,4,8,0.5,0.7,1594,5504,3.452949
2,32,1,4,8,0.7,0.9,1339,5504,4.110530
4,16,1,4,8,0.0,0.0,4507,5504,1.221211
4,16,1,4,8,0.1,0.3,3605,5504,1.526768
4,16,1,4,8,0.3,0.5,2357,5504,2.335172
4,16,1,4,8,0.5,0.7,1618,5504,3.401731
4,16,1,4,8,0.7,0.9,1237,5504,4.449475
1,32,2,4,8,0.0,0.0,4888,5504,1.126023
1,32,2,4,8,0.1,0.3,4155,5504,1.324669
1,32,2,4,8,0.3,0.5,3135,5504,1.755662
1,32,2,4,8,0.5,0.7,2745,5504,2.005100
1,32,2,4,8,0.7,0.9,2156,5504,2.552876
2,16,2,4,8,0.0,0.0,4878,5504,1.128331
2,16,2,4,8,0.1,0.3,4143,5504,1.328506
2,16,2,4,8,0.3,0.5,3084,5504,1.784695
2,16,2,4,8,0.5,0.7,2555,5504,2.154207
2,16,2,4,8,0.7,0.9,2103,5504,2.617214
