model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,0.999210,0.983437,0.613102,0.611448,0.984250
ResNet50,layer1.0.conv1,0.997079,1.098159,0.730134,0.725573,1.101704
ResNet50,layer1.0.conv2,1.000779,1.788701,1.166358,1.165154,1.789743
ResNet50,layer1.0.conv3,1.028629,1.513934,1.040935,1.032198,1.518564
ResNet50,layer1.0.downsample.0,0.997079,1.098159,0.730134,0.725573,1.101704
ResNet50,layer1.1.conv1,1.025574,1.638245,1.084072,1.081574,1.639554
ResNet50,layer1.1.conv2,1.001767,2.140788,1.412486,1.410721,2.142237
ResNet50,layer1.1.conv3,1.027654,2.036396,1.425958,1.409614,2.044495
ResNet50,layer1.2.conv1,0.999268,1.301698,0.835703,0.834140,1.302941
ResNet50,layer1.2.conv2,1.015355,2.087913,1.374917,1.373245,2.088962
ResNet50,layer1.2.conv3,1.015918,2.354990,1.669631,1.647268,2.368105
ResNet50,layer2.0.conv1,0.999268,1.207260,0.772647,0.771311,1.208329
ResNet50,layer2.0.conv2,1.025439,2.393867,1.622107,1.622744,2.394712
ResNet50,layer2.0.conv3,1.015909,1.755244,1.240154,1.235147,1.759358
ResNet50,layer2.0.downsample.0,0.999268,1.205944,0.802302,0.801351,1.207010
ResNet50,layer2.1.conv1,1.024110,1.953509,1.331013,1.330338,1.954551
ResNet50,layer2.1.conv2,1.021975,1.864200,1.240547,1.240919,1.863724
ResNet50,layer2.1.conv3,1.003292,1.663124,1.170934,1.166470,1.666202
ResNet50,layer2.2.conv1,1.026746,1.503578,1.009543,1.009155,1.504347
ResNet50,layer2.2.conv2,1.002712,1.957629,1.307503,1.307917,1.958253
ResNet50,layer2.2.conv3,1.013872,1.748600,1.234365,1.229405,1.751588
ResNet50,layer2.3.conv1,1.026285,1.687068,1.139581,1.139086,1.688049
ResNet50,layer2.3.conv2,1.025899,2.140249,1.438124,1.438625,2.140995
ResNet50,layer2.3.conv3,1.019513,2.374445,1.712915,1.703379,2.380830
ResNet50,layer3.0.conv1,1.021447,1.690710,1.141673,1.141176,1.690986
