model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,1.287208,1.135960,0.280117,0.278739,0.901102
ResNet50,layer1.0.conv1,1.219955,1.187374,0.352387,0.348162,1.002062
ResNet50,layer1.0.conv2,1.135487,1.729382,0.551903,0.550826,1.556515
ResNet50,layer1.0.conv3,1.123627,1.507670,0.516504,0.507970,1.343490
ResNet50,layer1.0.downsample.0,1.219955,1.187374,0.352387,0.348162,1.002062
ResNet50,layer1.1.conv1,1.135295,1.670358,0.524231,0.521900,1.449325
ResNet50,layer1.1.conv2,1.138626,2.005918,0.669780,0.668195,1.813727
ResNet50,layer1.1.conv3,1.237549,2.101211,0.720554,0.704053,1.757832
ResNet50,layer1.2.conv1,1.123746,1.452070,0.434718,0.433029,1.278752
ResNet50,layer1.2.conv2,1.130685,1.975139,0.652114,0.650611,1.776491
ResNet50,layer1.2.conv3,1.366545,2.541389,0.861446,0.837967,2.015121
ResNet50,layer2.0.conv1,1.119302,1.398299,0.416183,0.414635,1.232615
ResNet50,layer2.0.conv2,1.121803,2.221255,0.785496,0.786093,1.994770
ResNet50,layer2.0.conv3,1.152013,1.784111,0.634412,0.629194,1.539495
ResNet50,layer2.0.downsample.0,1.119401,1.400298,0.447946,0.446761,1.233030
ResNet50,layer2.1.conv1,1.084254,1.849880,0.667265,0.666587,1.708701
ResNet50,layer2.1.conv2,1.003933,1.635731,0.599295,0.599643,1.616790
ResNet50,layer2.1.conv3,1.220050,1.738698,0.598841,0.594189,1.468917
ResNet50,layer2.2.conv1,1.097125,1.622873,0.550919,0.550457,1.464939
ResNet50,layer2.2.conv2,1.105992,1.833493,0.630948,0.631333,1.684333
ResNet50,layer2.2.conv3,1.120167,1.699700,0.628689,0.623564,1.528242
ResNet50,layer2.3.conv1,1.099044,1.652058,0.574286,0.573784,1.515388
ResNet50,layer2.3.conv2,1.091189,1.999289,0.695702,0.696170,1.818191
ResNet50,layer2.3.conv3,1.138117,2.215447,0.874413,0.864530,1.978822
ResNet50,layer3.0.conv1,1.105229,1.709212,0.579536,0.579024,1.526614
ResNet50,layer3.0.conv2,1.099204,2.778096,1.211306,1.226038,2.592643
ResNet50,layer3.0.conv3,1.183578,1.683935,0.618629,0.619488,1.462175
ResNet50,layer3.0.downsample.0,1.109522,1.722685,0.626863,0.629348,1.530596
ResNet50,layer3.1.conv1,1.070264,1.931220,0.748259,0.753199,1.820874
ResNet50,layer3.1.conv2,1.117209,2.076670,0.756878,0.762943,1.893958
ResNet50,layer3.1.conv3,1.149860,2.235347,0.902657,0.904488,1.972405
ResNet50,layer3.2.conv1,1.096432,1.788523,0.653985,0.657756,1.637104
ResNet50,layer3.2.conv2,1.054146,2.240238,0.881640,0.889880,2.125551
ResNet50,layer3.2.conv3,1.132488,2.309371,0.990854,0.993061,2.115524
ResNet50,layer3.3.conv1,1.085813,1.829722,0.688580,0.692762,1.705753
ResNet50,layer3.3.conv2,1.098434,2.666456,1.114468,1.126927,2.447013
ResNet50,layer3.3.conv3,1.176501,2.353209,0.961804,0.963883,2.069113
ResNet50,layer3.4.conv1,1.110395,1.981677,0.748747,0.753694,1.821799
ResNet50,layer3.4.conv2,1.101519,2.701451,1.146185,1.159367,2.495532
ResNet50,layer3.4.conv3,1.122794,2.591434,1.176956,1.179862,2.321781
ResNet50,layer3.5.conv1,1.119104,2.300992,0.906612,0.913875,2.107527
ResNet50,layer3.5.conv2,1.142432,3.027778,1.306910,1.324075,2.729396
ResNet50,layer3.5.conv3,1.317288,2.841625,1.163299,1.166138,2.302391
ResNet50,layer4.0.conv1,1.115128,2.587546,1.123857,1.134376,2.391241
ResNet50,layer4.0.conv2,1.076748,3.621864,1.831612,1.977908,3.408541
ResNet50,layer4.0.conv3,1.211322,2.631493,1.126968,1.166389,2.220373
ResNet50,layer4.0.downsample.0,1.115921,2.610223,1.210796,1.262790,2.425250
ResNet50,layer4.1.conv1,1.122757,2.192336,0.849196,0.878931,1.984457
ResNet50,layer4.1.conv2,1.097852,3.483336,1.705983,1.832207,3.259640
ResNet50,layer4.1.conv3,1.150977,2.688816,1.182316,1.225778,2.301229
ResNet50,layer4.2.conv1,1.113196,1.801102,0.663822,0.681855,1.629911
ResNet50,layer4.2.conv2,1.088707,3.621850,1.889125,2.045143,3.474151
ResNet50,layer4.2.conv3,1.185724,2.422002,0.999064,1.032375,2.100997
GoogLeNet,conv1.conv,1.251960,1.108075,0.280117,0.278739,0.901102
GoogLeNet,conv2.conv,1.130655,1.258141,0.405105,0.399531,1.130822
GoogLeNet,conv3.conv,1.125470,1.502491,0.450398,0.449645,1.356385
GoogLeNet,inception3a.branch1.conv,1.019316,1.087480,0.394998,0.393699,1.070368
GoogLeNet,inception3a.branch2.0.conv,1.019316,1.087480,0.394998,0.393699,1.070368
GoogLeNet,inception3a.branch2.1.conv,1.019228,1.607163,0.574945,0.575038,1.563848
GoogLeNet,inception3a.branch3.0.conv,1.019316,1.087480,0.394998,0.393699,1.070368
GoogLeNet,inception3a.branch3.1.conv,1.031452,1.546335,0.605916,0.601781,1.483073
GoogLeNet,inception3a.branch4.1.conv,1.039483,0.979507,0.329629,0.328670,0.945569
GoogLeNet,inception3b.branch1.conv,1.096401,1.660421,0.608385,0.606323,1.538197
GoogLeNet,inception3b.branch2.0.conv,1.096401,1.660421,0.608385,0.606323,1.538197
GoogLeNet,inception3b.branch2.1.conv,1.064001,2.132925,0.791139,0.791745,2.005534
GoogLeNet,inception3b.branch3.0.conv,1.096401,1.660421,0.608385,0.606323,1.538197
GoogLeNet,inception3b.branch3.1.conv,1.102345,1.433387,0.481902,0.480757,1.311288
GoogLeNet,inception3b.branch4.1.conv,1.081895,1.150785,0.382115,0.381253,1.076022
GoogLeNet,inception4a.branch1.conv,1.051498,1.283972,0.480093,0.481489,1.225638
GoogLeNet,inception4a.branch2.0.conv,1.051498,1.283972,0.480093,0.481489,1.225638
GoogLeNet,inception4a.branch2.1.conv,1.074516,2.076748,0.796946,0.802305,1.911828
GoogLeNet,inception4a.branch3.0.conv,1.051498,1.283972,0.480093,0.481489,1.225638
GoogLeNet,inception4a.branch3.1.conv,1.047880,1.246161,0.485906,0.485092,1.194060
GoogLeNet,inception4a.branch4.1.conv,1.061442,0.983756,0.337113,0.337844,0.933917
GoogLeNet,inception4b.branch1.conv,1.062260,2.140945,0.882999,0.887937,2.003634
GoogLeNet,inception4b.branch2.0.conv,1.062260,2.140945,0.882999,0.887937,2.003634
GoogLeNet,inception4b.branch2.1.conv,1.107248,2.228164,0.865280,0.871868,2.035210
GoogLeNet,inception4b.branch3.0.conv,1.062260,2.140945,0.882999,0.887937,2.003634
GoogLeNet,inception4b.branch3.1.conv,1.065935,1.714416,0.670395,0.670793,1.561292
GoogLeNet,inception4b.branch4.1.conv,1.032927,1.193415,0.428015,0.429245,1.150535
GoogLeNet,inception4c.branch1.conv,1.054418,2.219465,0.930115,0.935596,2.083461
GoogLeNet,inception4c.branch2.0.conv,1.054418,2.219465,0.930115,0.935596,2.083461
GoogLeNet,inception4c.branch2.1.conv,1.214476,2.579279,0.962019,0.970418,2.201861
GoogLeNet,inception4c.branch3.0.conv,1.054418,2.219465,0.930115,0.935596,2.083461
GoogLeNet,inception4c.branch3.1.conv,1.118140,2.024738,0.826605,0.827210,1.843501
GoogLeNet,inception4c.branch4.1.conv,1.005171,1.222981,0.442062,0.443374,1.182866
GoogLeNet,inception4d.branch1.conv,1.088008,2.263711,0.937492,0.943060,2.095775
GoogLeNet,inception4d.branch2.0.conv,1.088008,2.263711,0.937492,0.943060,2.095775
GoogLeNet,inception4d.branch2.1.conv,1.118494,2.498187,0.999756,1.009039,2.264462
GoogLeNet,inception4d.branch3.0.conv,1.088008,2.263711,0.937492,0.943060,2.095775
