model name,layer name,total,valid,ratio
ResNet50,conv1,118013952,116214528,65.584294
ResNet50,layer1.0.conv1,12845056,11257856,8.092903
ResNet50,layer1.0.conv2,115605504,60980672,2.116354
ResNet50,layer1.0.conv3,51380224,32229120,2.682886
ResNet50,layer1.0.downsample.0,51380224,45031424,8.092903
ResNet50,layer1.1.conv1,51380224,29732288,2.373447
ResNet50,layer1.1.conv2,115605504,50352192,1.771642
ResNet50,layer1.1.conv3,51380224,23525376,1.844570
ResNet50,layer1.2.conv1,51380224,37828416,3.791393
ResNet50,layer1.2.conv2,115605504,51728448,1.809813
ResNet50,layer1.2.conv3,51380224,20091136,1.642113
ResNet50,layer2.0.conv1,102760448,81832192,4.910130
ResNet50,layer2.0.conv2,115605504,44662656,1.629558
ResNet50,layer2.0.conv3,51380224,27598336,2.160477
ResNet50,layer2.0.downsample.0,102760448,81925120,4.932029
ResNet50,layer2.1.conv1,51380224,24681856,1.924471
ResNet50,layer2.1.conv2,115605504,58416640,2.021469
ResNet50,layer2.1.conv3,51380224,29231104,2.319741
ResNet50,layer2.2.conv1,51380224,32548864,2.728439
ResNet50,layer2.2.conv2,115605504,55422336,1.920894
ResNet50,layer2.2.conv3,51380224,27727872,2.172309
ResNet50,layer2.3.conv1,51380224,28832000,2.278682
ResNet50,layer2.3.conv2,115605504,50383488,1.772492
ResNet50,layer2.3.conv3,51380224,19975168,1.636049
ResNet50,layer3.0.conv1,102760448,57558272,2.273352
ResNet50,layer3.0.conv2,115605504,31267328,1.370738
ResNet50,layer3.0.conv3,51380224,29314048,2.328461
ResNet50,layer3.0.downsample.0,102760448,57375744,2.264209
ResNet50,layer3.1.conv1,51380224,22470656,1.777274
ResNet50,layer3.1.conv2,115605504,47949312,1.708720
ResNet50,layer3.1.conv3,51380224,20233216,1.649604
ResNet50,layer3.2.conv1,51380224,27066624,2.113230
ResNet50,layer3.2.conv2,115605504,41051136,1.550620
ResNet50,layer3.2.conv3,51380224,18158592,1.546589
ResNet50,layer3.3.conv1,51380224,24857088,1.937185
ResNet50,layer3.3.conv2,115605504,34013440,1.416872
ResNet50,layer3.3.conv3,51380224,18910208,1.582390
ResNet50,layer3.4.conv1,51380224,23407616,1.836805
ResNet50,layer3.4.conv2,115605504,32960000,1.398812
ResNet50,layer3.4.conv3,51380224,16321536,1.465549
ResNet50,layer3.5.conv1,51380224,19330304,1.603131
ResNet50,layer3.5.conv2,115605504,29293568,1.339392
ResNet50,layer3.5.conv3,51380224,16849920,1.487975
ResNet50,layer4.0.conv1,102760448,33266176,1.478689
ResNet50,layer4.0.conv2,115605504,20334080,1.213433
ResNet50,layer4.0.conv3,51380224,17596416,1.520854
ResNet50,layer4.0.downsample.0,102760448,32610304,1.464864
ResNet50,layer4.1.conv1,51380224,20495360,1.663605
ResNet50,layer4.1.conv2,115605504,22209536,1.237800
ResNet50,layer4.1.conv3,51380224,16422912,1.469799
ResNet50,layer4.2.conv1,51380224,26351104,2.052818
ResNet50,layer4.2.conv2,115605504,19729920,1.205787
ResNet50,layer4.2.conv3,51380224,18470912,1.561267
ResNet34,conv1,118013952,116214528,65.584294
ResNet34,layer1.0.conv1,115605504,82629184,3.505713
ResNet34,layer1.0.conv2,115605504,65643712,2.313878
ResNet34,layer1.1.conv1,115605504,94762752,5.546557
ResNet34,layer1.1.conv2,115605504,56683904,1.962022
ResNet34,layer1.2.conv1,115605504,98804416,6.880834
ResNet34,layer1.2.conv2,115605504,41259520,1.554966
ResNet34,layer2.0.conv1,57802752,49778432,7.203446
ResNet34,layer2.0.conv2,115605504,45745408,1.654815
ResNet34,layer2.0.downsample.0,6422528,5675648,8.599143
ResNet34,layer2.1.conv1,115605504,70146816,2.543089
ResNet34,layer2.1.conv2,115605504,39480448,1.518626
ResNet34,layer2.2.conv1,115605504,72372864,2.674033
ResNet34,layer2.2.conv2,115605504,25922560,1.289047
ResNet34,layer2.3.conv1,115605504,71825408,2.640595
ResNet34,layer2.3.conv2,115605504,17246080,1.175337
ResNet34,layer3.0.conv1,57802752,38872320,3.053430
ResNet34,layer3.0.conv2,115605504,39056640,1.510218
ResNet34,layer3.0.downsample.0,6422528,4562688,3.453269
ResNet34,layer3.1.conv1,115605504,57594368,1.992816
ResNet34,layer3.1.conv2,115605504,21061120,1.222764
ResNet34,layer3.2.conv1,115605504,64071424,2.243283
ResNet34,layer3.2.conv2,115605504,15013632,1.149253
ResNet34,layer3.3.conv1,115605504,65947136,2.328017
ResNet34,layer3.3.conv2,115605504,14960640,1.148648
ResNet34,layer3.4.conv1,115605504,64312064,2.253807
ResNet34,layer3.4.conv2,115605504,12756224,1.124028
ResNet34,layer3.5.conv1,115605504,54672640,1.897260
ResNet34,layer3.5.conv2,115605504,12966144,1.126327
ResNet34,layer4.0.conv1,57802752,22197760,1.623445
ResNet34,layer4.0.conv2,115605504,16866816,1.170823
ResNet34,layer4.0.downsample.0,6422528,2870784,1.808274
ResNet34,layer4.1.conv1,115605504,37301248,1.476363
ResNet34,layer4.1.conv2,115605504,13446144,1.131619
ResNet34,layer4.2.conv1,115605504,52187136,1.822903
ResNet34,layer4.2.conv2,115605504,24123392,1.263695
ResNet18,conv1,118013952,116214528,65.584294
ResNet18,layer1.0.conv1,115605504,83872576,3.643077
ResNet18,layer1.0.conv2,115605504,63061504,2.200166
ResNet18,layer1.1.conv1,115605504,91730176,4.842049
ResNet18,layer1.1.conv2,115605504,52112512,1.820760
ResNet18,layer2.0.conv1,57802752,43645184,4.082816
ResNet18,layer2.0.conv2,115605504,45983232,1.660467
ResNet18,layer2.0.downsample.0,6422528,4980736,4.454545
ResNet18,layer2.1.conv1,115605504,58713472,2.032016
ResNet18,layer2.1.conv2,115605504,27112192,1.306376
ResNet18,layer3.0.conv1,57802752,28420608,1.967275
ResNet18,layer3.0.conv2,115605504,37292288,1.476194
ResNet18,layer3.0.downsample.0,6422528,3374848,2.107350
