model name,layer name,total,valid,ratio
AlexNet,features.0,70276800,48757061,3.265690
AlexNet,features.3,223948800,111800264,1.996895
AlexNet,features.6,112140288,38281852,1.518314
AlexNet,features.8,149520384,15015855,1.111638
AlexNet,features.10,99680256,14828680,1.174760
InceptionV3,Conv2d_1a_3x3.conv,10645344,7454205,3.335907
InceptionV3,Conv2d_2a_3x3.conv,109495296,39112314,1.555707
InceptionV3,Conv2d_2b_3x3.conv,218990592,88236377,1.674826
InceptionV3,Conv2d_3b_1x1.conv,14929920,9383933,2.692022
InceptionV3,Conv2d_4a_3x3.conv,373800960,174957441,1.879875
InceptionV3,Mixed_5b.branch1x1.conv,7680000,4665303,2.547520
InceptionV3,Mixed_5b.branch5x5_1.conv,5760000,3484842,2.531692
InceptionV3,Mixed_5b.branch5x5_2.conv,48000000,21161951,1.788506
InceptionV3,Mixed_5b.branch3x3dbl_1.conv,7680000,4627906,2.516305
InceptionV3,Mixed_5b.branch3x3dbl_2.conv,34560000,13368561,1.630847
InceptionV3,Mixed_5b.branch3x3dbl_3.conv,51840000,14927272,1.404394
InceptionV3,Mixed_5b.branch_pool.conv,3840000,2578235,3.043356
InceptionV3,Mixed_5c.branch1x1.conv,10240000,3933020,1.623598
InceptionV3,Mixed_5c.branch5x5_1.conv,7680000,2873393,1.597801
InceptionV3,Mixed_5c.branch5x5_2.conv,48000000,15993115,1.499677
InceptionV3,Mixed_5c.branch3x3dbl_1.conv,10240000,3880130,1.610096
InceptionV3,Mixed_5c.branch3x3dbl_2.conv,34560000,12247970,1.548940
InceptionV3,Mixed_5c.branch3x3dbl_3.conv,51840000,12679429,1.323780
InceptionV3,Mixed_5c.branch_pool.conv,10240000,5759774,2.285599
InceptionV3,Mixed_5d.branch1x1.conv,11520000,3873991,1.506668
InceptionV3,Mixed_5d.branch5x5_1.conv,8640000,2846484,1.491322
InceptionV3,Mixed_5d.branch5x5_2.conv,48000000,15198696,1.463356
InceptionV3,Mixed_5d.branch3x3dbl_1.conv,11520000,3888921,1.509616
InceptionV3,Mixed_5d.branch3x3dbl_2.conv,34560000,12189249,1.544874
InceptionV3,Mixed_5d.branch3x3dbl_3.conv,51840000,14142860,1.375171
InceptionV3,Mixed_5d.branch_pool.conv,11520000,6215732,2.171836
InceptionV3,Mixed_6a.branch3x3.conv,143327232,42954896,1.427956
InceptionV3,Mixed_6a.branch3x3dbl_1.conv,11520000,3485417,1.433802
InceptionV3,Mixed_6a.branch3x3dbl_2.conv,34560000,8549520,1.328695
InceptionV3,Mixed_6a.branch3x3dbl_3.conv,11943936,1554120,1.149581
InceptionV3,Mixed_6b.branch1x1.conv,21233664,7658351,1.564138
InceptionV3,Mixed_6b.branch7x7_1.conv,14155776,4986534,1.543833
InceptionV3,Mixed_6b.branch7x7_2.conv,8257536,1656102,1.250870
InceptionV3,Mixed_6b.branch7x7_3.conv,37158912,6032646,1.193812
InceptionV3,Mixed_6b.branch7x7dbl_1.conv,14155776,5239126,1.587567
InceptionV3,Mixed_6b.branch7x7dbl_2.conv,24772608,3275365,1.152362
InceptionV3,Mixed_6b.branch7x7dbl_3.conv,8257536,2234583,1.371011
InceptionV3,Mixed_6b.branch7x7dbl_4.conv,24772608,3925600,1.188305
InceptionV3,Mixed_6b.branch7x7dbl_5.conv,12386304,3835516,1.448557
InceptionV3,Mixed_6b.branch_pool.conv,21233664,13072572,2.601817
InceptionV3,Mixed_6c.branch1x1.conv,21233664,4764357,1.289287
InceptionV3,Mixed_6c.branch7x7_1.conv,17694720,3937958,1.286256
InceptionV3,Mixed_6c.branch7x7_2.conv,12902400,2658251,1.259490
InceptionV3,Mixed_6c.branch7x7_3.conv,46448640,7284552,1.186001
InceptionV3,Mixed_6c.branch7x7dbl_1.conv,17694720,3989429,1.291087
InceptionV3,Mixed_6c.branch7x7dbl_2.conv,38707200,4771669,1.140610
InceptionV3,Mixed_6c.branch7x7dbl_3.conv,12902400,2772023,1.273635
InceptionV3,Mixed_6c.branch7x7dbl_4.conv,38707200,5175552,1.154348
InceptionV3,Mixed_6c.branch7x7dbl_5.conv,15482880,4188345,1.370829
InceptionV3,Mixed_6c.branch_pool.conv,21233664,9894805,1.872646
InceptionV3,Mixed_6d.branch1x1.conv,21233664,4433268,1.263879
InceptionV3,Mixed_6d.branch7x7_1.conv,17694720,3686770,1.263191
InceptionV3,Mixed_6d.branch7x7_2.conv,12902400,2801971,1.277411
InceptionV3,Mixed_6d.branch7x7_3.conv,46448640,6056188,1.149934
InceptionV3,Mixed_6d.branch7x7dbl_1.conv,17694720,3658213,1.260621
InceptionV3,Mixed_6d.branch7x7dbl_2.conv,38707200,4061953,1.117244
InceptionV3,Mixed_6d.branch7x7dbl_3.conv,12902400,2844229,1.282778
InceptionV3,Mixed_6d.branch7x7dbl_4.conv,38707200,3834580,1.109960
