model name,layer name,total,valid,ratio
ResNet50,conv1,118013952,111091004,17.046777
ResNet50,layer1.0.conv1,12845056,10019979,4.546799
ResNet50,layer1.0.conv2,115605504,55613633,1.927019
ResNet50,layer1.0.conv3,51380224,28744579,2.269881
ResNet50,layer1.0.downsample.0,51380224,40231867,4.608771
ResNet50,layer1.1.conv1,51380224,26760199,2.086928
ResNet50,layer1.1.conv2,115605504,48340588,1.718660
ResNet50,layer1.1.conv3,51380224,21920500,1.744084
ResNet50,layer1.2.conv1,51380224,33197524,2.825775
ResNet50,layer1.2.conv2,115605504,49846188,1.758010
ResNet50,layer1.2.conv3,51380224,18636816,1.569178
ResNet50,layer2.0.conv1,102760448,69187004,3.060766
ResNet50,layer2.0.conv2,115605504,42780927,1.587452
ResNet50,layer2.0.conv3,51380224,23906348,1.870148
ResNet50,layer2.0.downsample.0,102760448,62286355,2.538919
ResNet50,layer2.1.conv1,51380224,22990305,1.809805
ResNet50,layer2.1.conv2,115605504,55452998,1.921873
ResNet50,layer2.1.conv3,51380224,27893963,2.187672
ResNet50,layer2.2.conv1,51380224,27994455,2.197072
ResNet50,layer2.2.conv2,115605504,52869497,1.842730
ResNet50,layer2.2.conv3,51380224,26827497,2.092648
ResNet50,layer2.3.conv1,51380224,26984969,2.106156
ResNet50,layer2.3.conv2,115605504,48305038,1.717752
ResNet50,layer2.3.conv3,51380224,19310087,1.602121
ResNet50,layer3.0.conv1,102760448,53279073,2.076750
ResNet50,layer3.0.conv2,115605504,29498701,1.342583
ResNet50,layer3.0.conv3,51380224,27670470,2.167050
ResNet50,layer3.0.downsample.0,102760448,52129080,2.029581
ResNet50,layer3.1.conv1,51380224,21246194,1.705057
ResNet50,layer3.1.conv2,115605504,45477957,1.648503
ResNet50,layer3.1.conv3,51380224,19253519,1.599300
ResNet50,layer3.2.conv1,51380224,24322191,1.898890
ResNet50,layer3.2.conv2,115605504,39151448,1.512091
ResNet50,layer3.2.conv3,51380224,17600790,1.521050
ResNet50,layer3.3.conv1,51380224,23170921,1.821393
ResNet50,layer3.3.conv2,115605504,32190338,1.385905
ResNet50,layer3.3.conv3,51380224,18169194,1.547083
ResNet50,layer3.4.conv1,51380224,21323887,1.709464
ResNet50,layer3.4.conv2,115605504,31273085,1.370831
ResNet50,layer3.4.conv3,51380224,15488372,1.431529
ResNet50,layer3.5.conv1,51380224,17623517,1.522075
ResNet50,layer3.5.conv2,115605504,27397547,1.310602
