model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,0.999208,0.983360,0.613459,0.611819,0.984175
ResNet50,layer1.0.conv1,0.997098,1.095210,0.730013,0.725544,1.098712
ResNet50,layer1.0.conv2,1.000767,1.758998,1.148925,1.147963,1.759976
ResNet50,layer1.0.conv3,1.026178,1.451946,1.003218,0.995325,1.456351
ResNet50,layer1.0.downsample.0,0.997115,1.087070,0.727343,0.722954,1.090500
ResNet50,layer1.1.conv1,1.025034,1.615925,1.071942,1.069666,1.617211
ResNet50,layer1.1.conv2,1.001725,2.090271,1.381276,1.379886,2.091653
ResNet50,layer1.1.conv3,1.025796,1.881242,1.321043,1.307391,1.886672
ResNet50,layer1.2.conv1,0.999268,1.292821,0.832256,0.830808,1.294046
ResNet50,layer1.2.conv2,1.015037,2.040818,1.346028,1.344708,2.041827
ResNet50,layer1.2.conv3,1.014499,2.124916,1.509768,1.491962,2.135663
ResNet50,layer2.0.conv1,0.999268,1.195731,0.768498,0.767271,1.196779
ResNet50,layer2.0.conv2,1.021767,1.984661,1.333557,1.334904,1.985250
ResNet50,layer2.0.conv3,1.008999,1.328712,0.925262,0.922587,1.331119
ResNet50,layer2.0.downsample.0,0.999268,1.099714,0.735644,0.734938,1.100600
ResNet50,layer2.1.conv1,1.020603,1.709863,1.166948,1.167062,1.710700
ResNet50,layer2.1.conv2,1.018809,1.650450,1.095440,1.096348,1.650191
ResNet50,layer2.1.conv3,1.001432,1.295843,0.901217,0.898679,1.297906
ResNet50,layer2.2.conv1,1.022852,1.395627,0.941089,0.941163,1.396297
ResNet50,layer2.2.conv2,1.002308,1.712659,1.139745,1.140728,1.713137
ResNet50,layer2.2.conv3,1.007782,1.326404,0.923308,0.920644,1.328422
ResNet50,layer2.3.conv1,1.022459,1.528257,1.035807,1.035896,1.529069
ResNet50,layer2.3.conv2,1.022160,1.830100,1.222983,1.224115,1.830646
ResNet50,layer2.3.conv3,1.011318,1.509286,1.056921,1.053431,1.511728
ResNet50,layer3.0.conv1,1.015990,1.428956,0.963638,0.963608,1.429288
ResNet50,layer3.0.conv2,1.009898,1.398631,0.907029,0.908929,1.398791
ResNet50,layer3.0.conv3,1.000722,1.038574,0.691110,0.690493,1.039227
ResNet50,layer3.0.downsample.0,1.003172,1.041062,0.678815,0.678707,1.041346
ResNet50,layer3.1.conv1,1.008593,1.269925,0.849063,0.850423,1.270220
ResNet50,layer3.1.conv2,1.002273,1.286078,0.830561,0.832198,1.286213
ResNet50,layer3.1.conv3,1.002796,1.070042,0.711620,0.710966,1.070825
ResNet50,layer3.2.conv1,1.009437,1.210308,0.808301,0.809533,1.210576
ResNet50,layer3.2.conv2,1.012371,1.330348,0.859420,0.861172,1.330492
ResNet50,layer3.2.conv3,0.999752,1.077892,0.716478,0.715814,1.078315
ResNet50,layer3.3.conv1,1.001893,1.238304,0.827397,0.828689,1.238535
ResNet50,layer3.3.conv2,1.011875,1.378768,0.891004,0.892888,1.378923
ResNet50,layer3.3.conv3,1.000876,1.074889,0.714710,0.714050,1.075590
ResNet50,layer3.4.conv1,1.001546,1.257408,0.840423,0.841755,1.257589
ResNet50,layer3.4.conv2,1.009264,1.386321,0.899101,0.900967,1.386477
ResNet50,layer3.4.conv3,1.003849,1.084184,0.721678,0.721002,1.085036
ResNet50,layer3.5.conv1,1.002378,1.314239,0.879364,0.880823,1.314472
ResNet50,layer3.5.conv2,1.012088,1.413265,0.916452,0.918392,1.413428
ResNet50,layer3.5.conv3,1.003130,1.082284,0.719576,0.718907,1.083094
ResNet50,layer4.0.conv1,1.001716,1.184655,0.776086,0.776683,1.184788
ResNet50,layer4.0.conv2,1.002304,1.042416,0.638868,0.639673,1.042460
ResNet50,layer4.0.conv3,1.000318,0.984022,0.625375,0.625099,0.984363
ResNet50,layer4.0.downsample.0,0.999966,0.984769,0.613975,0.613932,0.984932
ResNet50,layer4.1.conv1,1.000688,1.021619,0.650477,0.651199,1.021714
ResNet50,layer4.1.conv2,1.001968,1.040879,0.638002,0.638805,1.040923
ResNet50,layer4.1.conv3,1.000244,0.984525,0.625772,0.625491,0.984880
ResNet50,layer4.2.conv1,0.999908,1.011334,0.644220,0.644928,1.011427
ResNet50,layer4.2.conv2,1.002472,1.042912,0.639147,0.639954,1.042957
ResNet50,layer4.2.conv3,1.000363,0.983724,0.625152,0.624876,0.983977
ResNet34,conv1,0.999208,0.983360,0.613459,0.611819,0.984175
ResNet34,layer1.0.conv1,1.000552,1.329731,0.839988,0.839444,1.330307
ResNet34,layer1.0.conv2,1.005081,1.644694,1.069961,1.069127,1.645498
ResNet34,layer1.1.conv1,1.001783,1.169772,0.734835,0.734418,1.170188
ResNet34,layer1.1.conv2,1.006284,1.879564,1.232757,1.231650,1.880528
ResNet34,layer1.2.conv1,1.000581,1.124691,0.705419,0.705035,1.125080
ResNet34,layer1.2.conv2,1.026043,2.491992,1.670246,1.668214,2.493695
ResNet34,layer2.0.conv1,0.999880,1.096206,0.716323,0.716435,1.096598
ResNet34,layer2.0.conv2,1.018915,1.953450,1.311121,1.312423,1.954017
ResNet34,layer2.0.downsample.0,0.999061,1.070567,0.747441,0.743765,1.073790
ResNet34,layer2.1.conv1,1.014175,1.442552,0.936131,0.936803,1.442551
ResNet34,layer2.1.conv2,1.008781,2.149057,1.452520,1.454118,2.149707
ResNet34,layer2.2.conv1,1.013436,1.408986,0.913137,0.913777,1.408908
ResNet34,layer2.2.conv2,1.023629,2.743516,1.916726,1.919468,2.744519
ResNet34,layer2.3.conv1,1.011786,1.416755,0.918687,0.919335,1.417035
ResNet34,layer2.3.conv2,1.023270,3.333377,2.375792,2.380006,3.335071
ResNet34,layer3.0.conv1,1.002121,1.124354,0.734828,0.735939,1.124560
ResNet34,layer3.0.conv2,1.010250,1.343721,0.868141,0.869929,1.343868
ResNet34,layer3.0.downsample.0,1.000525,1.102582,0.777358,0.776399,1.104143
ResNet34,layer3.1.conv1,1.008350,1.228900,0.793315,0.794808,1.229023
ResNet34,layer3.1.conv2,1.013363,1.477756,0.957964,0.960084,1.477933
ResNet34,layer3.2.conv1,1.006316,1.193274,0.770123,0.771530,1.193390
ResNet34,layer3.2.conv2,1.012938,1.529010,0.992736,0.994950,1.529200
ResNet34,layer3.3.conv1,1.007016,1.183758,0.763658,0.765041,1.183453
ResNet34,layer3.3.conv2,1.012796,1.529474,0.993030,0.995245,1.529665
ResNet34,layer3.4.conv1,1.006736,1.191990,0.769287,0.770691,1.192106
ResNet34,layer3.4.conv2,1.013434,1.549065,1.005414,1.007684,1.549260
ResNet34,layer3.5.conv1,1.004988,1.245677,0.804240,0.805775,1.245803
ResNet34,layer3.5.conv2,1.013151,1.547192,1.004221,1.006486,1.547373
ResNet34,layer4.0.conv1,1.001145,1.022987,0.639402,0.640131,1.023072
ResNet34,layer4.0.conv2,1.002472,1.045271,0.640476,0.641285,1.045315
ResNet34,layer4.0.downsample.0,1.000600,1.016591,0.687718,0.687547,1.017348
ResNet34,layer4.1.conv1,0.999959,1.028670,0.630742,0.631549,1.028713
ResNet34,layer4.1.conv2,1.002639,1.048102,0.642224,0.643015,1.048147
ResNet34,layer4.2.conv1,0.999959,1.016905,0.623964,0.624754,1.016947
ResNet34,layer4.2.conv2,1.002360,1.039314,0.637120,0.637921,1.039358
ResNet18,conv1,0.999208,0.983360,0.613459,0.611819,0.984175
ResNet18,layer1.0.conv1,1.000572,1.311365,0.827849,0.827320,1.311911
ResNet18,layer1.0.conv2,1.003606,1.706076,1.112294,1.111392,1.706983
ResNet18,layer1.1.conv1,1.000464,1.206008,0.758569,0.758124,1.206482
ResNet18,layer1.1.conv2,1.014736,2.027354,1.336510,1.335209,2.028343
ResNet18,layer2.0.conv1,1.000085,1.217993,0.799587,0.799727,1.218476
ResNet18,layer2.0.conv2,1.017708,1.946722,1.306294,1.307586,1.947288
ResNet18,layer2.0.downsample.0,0.997247,1.188973,0.834461,0.829882,1.192937
ResNet18,layer2.1.conv1,1.014809,1.643864,1.091235,1.092136,1.644202
ResNet18,layer2.1.conv2,1.020303,2.678298,1.867256,1.869859,2.679466
ResNet18,layer3.0.conv1,1.007491,1.233058,0.811939,0.813257,1.233305
ResNet18,layer3.0.conv2,1.009334,1.355778,0.876005,0.877826,1.355928
ResNet18,layer3.0.downsample.0,1.006743,1.209639,0.861010,0.859862,1.211416
ResNet18,layer3.1.conv1,1.006246,1.295727,0.836850,0.838511,1.295864
ResNet18,layer3.1.conv2,1.010744,1.492885,0.967699,0.969862,1.493067
ResNet18,layer4.0.conv1,1.001480,1.018916,0.637016,0.637740,1.019000
ResNet18,layer4.0.conv2,1.002472,1.043965,0.639741,0.640548,1.044010
ResNet18,layer4.0.downsample.0,0.999878,1.012667,0.685107,0.684937,1.013286
ResNet18,layer4.1.conv1,1.001465,1.041838,0.638542,0.639347,1.041882
ResNet18,layer4.1.conv2,1.001689,1.039278,0.637099,0.637900,1.039322
AlexNet,features.0,0.999685,0.978580,0.610991,0.610457,0.978893
AlexNet,features.3,0.999883,1.241730,0.798406,0.799003,1.241910
AlexNet,features.6,0.999892,1.140984,0.732074,0.733038,1.141125
AlexNet,features.8,0.999946,1.452534,0.938571,0.940823,1.452648
AlexNet,features.10,0.999919,1.387225,0.896830,0.898817,1.387382
VGG16,features.0,0.994907,0.970416,0.607518,0.598691,0.975311
VGG16,features.2,1.000904,1.888382,1.147847,1.146168,1.889488
VGG16,features.5,0.999778,1.407966,0.858611,0.857767,1.408606
VGG16,features.7,0.999857,2.327304,1.464023,1.462906,2.328181
VGG16,features.10,0.999837,1.641903,1.050021,1.049803,1.642342
VGG16,features.12,0.999919,2.248139,1.442129,1.442318,2.248551
VGG16,features.14,0.999919,2.608059,1.695400,1.695660,2.608612
VGG16,features.17,0.999919,1.625019,1.039059,1.039828,1.625234
VGG16,features.19,0.999959,1.828631,1.158078,1.159248,1.828767
VGG16,features.21,0.999959,1.890409,1.198381,1.199634,1.890555
VGG16,features.24,0.999959,1.233104,0.763127,0.764074,1.233166
VGG16,features.26,0.999959,1.247756,0.771892,0.772861,1.247819
VGG16,features.28,0.999959,1.237229,0.765595,0.766548,1.237291
SqueezeNet,features.0,0.999184,0.968930,0.604380,0.602791,0.969697
SqueezeNet,features.3.squeeze,0.998061,1.112983,0.740116,0.737095,1.115394
SqueezeNet,features.3.expand1x1,0.988551,1.105863,0.776132,0.758055,1.120195
SqueezeNet,features.3.expand3x3,0.998700,1.144403,0.747518,0.745426,1.146111
SqueezeNet,features.4.squeeze,0.998537,1.982025,1.358076,1.350599,1.987797
SqueezeNet,features.4.expand1x1,0.988724,1.078542,0.755598,0.738454,1.091650
SqueezeNet,features.4.expand3x3,0.998731,1.115596,0.727925,0.725942,1.117183
SqueezeNet,features.5.squeeze,0.998537,1.667821,1.131197,1.126024,1.671905
