model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,1.285413,1.134621,0.280481,0.279113,0.901221
ResNet50,layer1.0.conv1,1.216312,1.182573,0.353924,0.349746,1.001937
ResNet50,layer1.0.conv2,1.133442,1.705590,0.547809,0.546925,1.540305
ResNet50,layer1.0.conv3,1.119055,1.454225,0.508101,0.500068,1.312035
ResNet50,layer1.0.downsample.0,1.206478,1.169188,0.356206,0.352019,1.001315
ResNet50,layer1.1.conv1,1.133567,1.650522,0.522012,0.519858,1.438230
ResNet50,layer1.1.conv2,1.135449,1.962915,0.658370,0.657108,1.781915
ResNet50,layer1.1.conv3,1.216648,1.914337,0.674525,0.660440,1.645504
ResNet50,layer1.2.conv1,1.120911,1.435720,0.433403,0.431835,1.269133
ResNet50,layer1.2.conv2,1.127710,1.929248,0.640052,0.638859,1.742778
ResNet50,layer1.2.conv3,1.328457,2.233712,0.783393,0.764458,1.845171
ResNet50,layer2.0.conv1,1.113971,1.368807,0.413274,0.411856,1.215324
ResNet50,layer2.0.conv2,1.102856,1.843159,0.647207,0.648477,1.705287
ResNet50,layer2.0.conv3,1.126565,1.351380,0.498454,0.495358,1.261515
ResNet50,layer2.0.downsample.0,1.107649,1.205094,0.409388,0.408515,1.124897
ResNet50,layer2.1.conv1,1.071385,1.660290,0.606000,0.606122,1.561210
ResNet50,layer2.1.conv2,1.003303,1.472150,0.532120,0.532978,1.459089
ResNet50,layer2.1.conv3,1.121848,1.274749,0.461257,0.458605,1.181160
ResNet50,layer2.2.conv1,1.082170,1.464601,0.507960,0.508047,1.351870
ResNet50,layer2.2.conv2,1.089690,1.604150,0.552522,0.553447,1.504149
ResNet50,layer2.2.conv3,1.067198,1.255272,0.469035,0.466293,1.198119
ResNet50,layer2.3.conv1,1.083775,1.479645,0.522899,0.522991,1.383899
ResNet50,layer2.3.conv2,1.077311,1.707861,0.592979,0.594044,1.591650
ResNet50,layer2.3.conv3,1.076987,1.399302,0.536422,0.532838,1.341626
ResNet50,layer3.0.conv1,1.076975,1.402715,0.486553,0.486523,1.306581
ResNet50,layer3.0.conv2,1.040563,1.280295,0.434286,0.436032,1.262496
ResNet50,layer3.0.conv3,1.042348,0.991786,0.346149,0.345531,0.977310
ResNet50,layer3.0.downsample.0,1.033400,0.997283,0.335999,0.335893,0.985024
ResNet50,layer3.1.conv1,1.028936,1.211793,0.433741,0.435163,1.192628
ResNet50,layer3.1.conv2,1.047493,1.201141,0.397901,0.399406,1.172976
ResNet50,layer3.1.conv3,1.022017,0.997893,0.350188,0.349555,0.990407
ResNet50,layer3.2.conv1,1.039277,1.160024,0.408075,0.409334,1.131055
ResNet50,layer3.2.conv2,1.022620,1.220238,0.409858,0.411455,1.205106
ResNet50,layer3.2.conv3,1.017770,0.996921,0.350841,0.350205,0.992639
ResNet50,layer3.3.conv1,1.035116,1.161522,0.411295,0.412574,1.139189
ResNet50,layer3.3.conv2,1.040264,1.266793,0.427351,0.429041,1.244052
ResNet50,layer3.3.conv3,1.023298,0.996707,0.349637,0.349006,0.989482
ResNet50,layer3.4.conv1,1.044676,1.185122,0.419449,0.420779,1.159215
ResNet50,layer3.4.conv2,1.041462,1.270454,0.429435,0.431141,1.249669
ResNet50,layer3.4.conv3,1.015766,1.003418,0.353587,0.352939,0.998258
ResNet50,layer3.5.conv1,1.048003,1.226370,0.436740,0.438182,1.201391
ResNet50,layer3.5.conv2,1.056980,1.298690,0.438064,0.439841,1.273059
ResNet50,layer3.5.conv3,1.038041,1.007765,0.352917,0.352271,0.996525
ResNet50,layer4.0.conv1,1.028955,1.100121,0.377377,0.377942,1.090117
ResNet50,layer4.0.conv2,1.006139,0.965559,0.292599,0.293276,0.964269
ResNet50,layer4.0.conv3,1.002893,0.914467,0.295267,0.295017,0.914090
ResNet50,layer4.0.downsample.0,1.001835,0.916464,0.285810,0.285773,0.916391
ResNet50,layer4.1.conv1,1.009358,0.951890,0.308213,0.308863,0.948374
ResNet50,layer4.1.conv2,1.007720,0.962719,0.291629,0.292301,0.961241
ResNet50,layer4.1.conv3,1.001876,0.913357,0.294889,0.294639,0.913131
ResNet50,layer4.2.conv1,1.008678,0.942863,0.305051,0.305687,0.938601
ResNet50,layer4.2.conv2,1.007042,0.963207,0.291913,0.292586,0.962371
ResNet50,layer4.2.conv3,1.002474,0.915613,0.295688,0.295442,0.915377
GoogLeNet,conv1.conv,1.250327,1.106788,0.280455,0.279087,0.901122
GoogLeNet,conv2.conv,1.127460,1.248710,0.405250,0.399783,1.125708
GoogLeNet,conv3.conv,1.117303,1.448157,0.440897,0.440299,1.319215
GoogLeNet,inception3a.branch1.conv,1.017578,1.071439,0.392965,0.391987,1.056334
GoogLeNet,inception3a.branch2.0.conv,1.016805,1.063879,0.389948,0.388980,1.049650
GoogLeNet,inception3a.branch2.1.conv,1.016380,1.450932,0.519577,0.520178,1.420604
GoogLeNet,inception3a.branch3.0.conv,1.018855,1.083123,0.394988,0.393981,1.066556
