model name,layer name,BDIZV,CSC,ZRLE,ZVC
ResNet50,layer1.0.conv2,0.969849,0.663206,0.969697,0.969697
ResNet50,layer2.3.conv2,0.969544,0.638203,0.969697,0.969697
ResNet50,layer3.5.conv2,0.969620,0.614461,0.969697,0.969697
ResNet50,layer4.2.conv2,0.969659,0.592121,0.969697,0.969697
AlexNet,features.3,0.969587,0.626235,0.969697,0.969697
AlexNet,features.6,0.969595,0.614769,0.969697,0.969697
AlexNet,features.10,0.969620,0.614461,0.969697,0.969697
VGG16,features.2,0.969391,0.663206,0.969697,0.969697
VGG16,features.7,0.969544,0.638203,0.969697,0.969697
VGG16,features.12,0.969620,0.614461,0.969697,0.969697
VGG16,features.19,0.969659,0.592121,0.969697,0.969697
