model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
AlexNet,features.0,0.999484,1.366588,0.987089,0.992606,1.367554
AlexNet,features.3,0.999883,1.367302,0.911842,0.913990,1.367521
AlexNet,features.6,0.999892,1.367320,0.895118,0.896083,1.367522
AlexNet,features.8,0.999946,1.367420,0.877238,0.878981,1.367522
AlexNet,features.10,0.999919,1.367369,0.894498,0.896150,1.367521
InceptionV3,Conv2d_1a_3x3.conv,0.994032,1.356558,1.076216,1.074126,1.367089
InceptionV3,Conv2d_2a_3x3.conv,1.063474,1.366421,1.002925,1.014405,1.367562
InceptionV3,Conv2d_2b_3x3.conv,0.999349,1.366982,0.987090,0.992298,1.367562
InceptionV3,Conv2d_3b_1x1.conv,0.998227,1.363731,1.033847,1.032596,1.367521
InceptionV3,Conv2d_4a_3x3.conv,0.999740,1.367035,0.930539,0.932299,1.367521
InceptionV3,Mixed_5b.branch1x1.conv,0.999024,1.365637,0.987003,0.991462,1.367460
InceptionV3,Mixed_5b.branch5x5_1.conv,1.000319,1.367378,1.007199,1.013680,1.367562
InceptionV3,Mixed_5b.branch5x5_2.conv,0.999844,1.367229,0.945341,0.951997,1.367521
InceptionV3,Mixed_5b.branch3x3dbl_1.conv,0.999509,1.366315,0.987003,0.991462,1.367460
InceptionV3,Mixed_5b.branch3x3dbl_2.conv,0.999675,1.366920,0.947677,0.951591,1.367528
InceptionV3,Mixed_5b.branch3x3dbl_3.conv,0.999783,1.367111,0.947671,0.951848,1.367517
InceptionV3,Mixed_5b.branch_pool.conv,0.999024,1.365637,1.002826,1.013579,1.367460
InceptionV3,Mixed_5c.branch1x1.conv,0.999268,1.366130,0.987040,0.992060,1.367499
InceptionV3,Mixed_5c.branch5x5_1.conv,0.999268,1.366092,0.984788,0.992023,1.367460
InceptionV3,Mixed_5c.branch5x5_2.conv,0.999844,1.367229,0.945341,0.951997,1.367521
InceptionV3,Mixed_5c.branch3x3dbl_1.conv,0.999268,1.366130,0.987040,0.992060,1.367499
InceptionV3,Mixed_5c.branch3x3dbl_2.conv,0.999675,1.366920,0.947677,0.951591,1.367528
InceptionV3,Mixed_5c.branch3x3dbl_3.conv,0.999783,1.367111,0.947671,0.951848,1.367517
InceptionV3,Mixed_5c.branch_pool.conv,0.999268,1.366771,0.987040,0.992060,1.367499
InceptionV3,Mixed_5d.branch1x1.conv,0.999349,1.366345,0.987090,0.992298,1.367562
InceptionV3,Mixed_5d.branch5x5_1.conv,0.999349,1.366278,0.984817,0.992239,1.367494
InceptionV3,Mixed_5d.branch5x5_2.conv,0.999844,1.367229,0.945341,0.951997,1.367521
InceptionV3,Mixed_5d.branch3x3dbl_1.conv,0.999349,1.366345,0.987090,0.992298,1.367562
InceptionV3,Mixed_5d.branch3x3dbl_2.conv,0.999675,1.366920,0.947677,0.951591,1.367528
InceptionV3,Mixed_5d.branch3x3dbl_3.conv,0.999783,1.367111,0.947671,0.951848,1.367517
InceptionV3,Mixed_5d.branch_pool.conv,0.999836,1.366985,0.987090,0.992298,1.367562
InceptionV3,Mixed_6a.branch3x3.conv,0.999928,1.367385,0.877864,0.878934,1.367521
InceptionV3,Mixed_6a.branch3x3dbl_1.conv,0.999349,1.366345,0.987090,0.992298,1.367562
InceptionV3,Mixed_6a.branch3x3dbl_2.conv,0.999675,1.366920,0.947677,0.951591,1.367528
InceptionV3,Mixed_6a.branch3x3dbl_3.conv,0.999783,1.367111,0.947671,0.951848,1.367517
InceptionV3,Mixed_6b.branch1x1.conv,0.999918,1.367290,0.930541,0.932342,1.367524
InceptionV3,Mixed_6b.branch7x7_1.conv,0.999756,1.367061,0.929339,0.932336,1.367518
InceptionV3,Mixed_6b.branch7x7_2.conv,0.999791,1.367124,0.929337,0.932420,1.367515
InceptionV3,Mixed_6b.branch7x7_3.conv,0.999791,1.367134,0.930543,0.932429,1.367526
