model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
ResNet50,conv1,1.009415,0.921687,0.376516,0.378717,0.925256
ResNet50,layer1.0.conv1,1.061037,0.987018,0.450110,0.450110,0.995867
ResNet50,layer1.0.conv2,1.041514,1.018789,0.401772,0.406020,1.019864
ResNet50,layer1.0.conv3,1.065929,1.013932,0.423671,0.420022,1.019603
ResNet50,layer1.0.downsample.0,1.062663,0.984482,0.410732,0.407301,0.992248
ResNet50,layer1.1.conv1,1.054888,1.043401,0.432335,0.436203,1.045898
ResNet50,layer1.1.conv2,0.998916,0.957308,0.358830,0.362442,0.958303
ResNet50,layer1.1.conv3,1.008083,0.916184,0.378410,0.375496,0.922990
ResNet50,layer1.2.conv1,0.997565,0.925232,0.377470,0.380415,0.927326
ResNet50,layer1.2.conv2,0.998916,0.902158,0.335750,0.338911,0.903042
ResNet50,layer1.2.conv3,0.990329,0.899577,0.371288,0.368482,0.907550
ResNet50,layer2.0.conv1,0.997565,0.902476,0.352859,0.353773,0.904469
ResNet50,layer2.0.conv2,0.999458,0.902368,0.311409,0.312931,0.902810
ResNet50,layer2.0.conv3,1.089706,0.985402,0.375298,0.373654,0.988268
ResNet50,layer2.0.downsample.0,1.090125,0.993106,0.361713,0.361171,0.991723
ResNet50,layer2.1.conv1,0.998781,1.020000,0.387872,0.389643,1.021271
ResNet50,layer2.1.conv2,0.999458,0.912944,0.315508,0.317071,0.913397
ResNet50,layer2.1.conv3,0.998752,0.904979,0.341216,0.339857,0.908607
ResNet50,layer2.2.conv1,0.998781,0.916895,0.343772,0.345162,0.917923
ResNet50,layer2.2.conv2,0.999458,0.908277,0.313697,0.315243,0.908725
ResNet50,layer2.2.conv3,0.995141,0.896378,0.337713,0.336382,0.900319
ResNet50,layer2.3.conv1,0.998781,0.902650,0.337776,0.339118,0.903646
ResNet50,layer2.3.conv2,0.999458,0.902285,0.311377,0.312899,0.902727
ResNet50,layer2.3.conv3,0.995141,0.894641,0.336974,0.335648,0.898566
ResNet50,layer3.0.conv1,0.998781,0.905462,0.326248,0.326690,0.906464
ResNet50,layer3.0.conv2,0.999729,0.906221,0.291247,0.291985,0.906444
ResNet50,layer3.0.conv3,1.019073,0.919449,0.319236,0.318565,0.918981
ResNet50,layer3.0.downsample.0,1.020005,0.922899,0.308592,0.308371,0.922112
ResNet50,layer3.1.conv1,0.999390,0.942872,0.328140,0.328852,0.943415
ResNet50,layer3.1.conv2,0.999729,0.908036,0.291903,0.292645,0.908260
ResNet50,layer3.1.conv3,1.000721,0.902287,0.313466,0.312819,0.904238
ResNet50,layer3.2.conv1,0.999390,0.914091,0.316856,0.317519,0.914602
ResNet50,layer3.2.conv2,0.999729,0.904821,0.290741,0.291477,0.905043
ResNet50,layer3.2.conv3,0.998412,0.899116,0.312238,0.311596,0.901092
ResNet50,layer3.3.conv1,0.999390,0.907723,0.314371,0.315024,0.908226
ResNet50,layer3.3.conv2,0.999729,0.903633,0.290312,0.291045,0.903855
ResNet50,layer3.3.conv3,0.998412,0.897663,0.311668,0.311029,0.899633
ResNet50,layer3.4.conv1,0.999390,0.906229,0.313789,0.314440,0.906731
ResNet50,layer3.4.conv2,0.999729,0.903876,0.290399,0.291133,0.904097
ResNet50,layer3.4.conv3,0.997565,0.898079,0.311832,0.311192,0.900053
ResNet50,layer3.5.conv1,0.999390,0.903359,0.312671,0.313317,0.903858
ResNet50,layer3.5.conv2,0.999729,0.903607,0.290302,0.291036,0.903828
ResNet50,layer3.5.conv3,0.997565,0.896967,0.311396,0.310758,0.898936
ResNet50,layer4.0.conv1,0.999390,0.901697,0.300874,0.301084,0.902193
ResNet50,layer4.0.conv2,0.999864,0.902232,0.270821,0.271172,0.902342
ResNet50,layer4.0.conv3,0.998781,0.900411,0.290144,0.289836,0.901401
ResNet50,layer4.0.downsample.0,0.999390,0.902453,0.280680,0.280579,0.902950
ResNet50,layer4.1.conv1,0.999695,0.902993,0.290502,0.290811,0.903242
ResNet50,layer4.1.conv2,0.999864,0.900366,0.270191,0.270540,0.900476
ResNet50,layer4.1.conv3,0.998781,0.899152,0.289687,0.289380,0.900140
ResNet50,layer4.2.conv1,0.999695,0.901740,0.290048,0.290357,0.901988
ResNet50,layer4.2.conv2,0.999864,0.899981,0.270061,0.270410,0.900091
ResNet50,layer4.2.conv3,0.998781,0.902188,0.290790,0.290481,0.903183
GoogLeNet,conv1.conv,0.995766,0.901581,0.367339,0.369434,0.905051
GoogLeNet,conv2.conv,0.990329,0.913266,0.412487,0.412487,0.921485
GoogLeNet,conv3.conv,0.998916,0.910417,0.327916,0.328711,0.911317
GoogLeNet,inception3a.branch1.conv,0.996755,0.907466,0.369658,0.372166,0.910155
GoogLeNet,inception3a.branch2.0.conv,0.996755,0.903707,0.353077,0.354299,0.906373
GoogLeNet,inception3a.branch2.1.conv,0.999277,0.909444,0.326808,0.328325,0.910042
GoogLeNet,inception3a.branch3.0.conv,0.996755,0.905393,0.394504,0.408348,0.908070
GoogLeNet,inception3a.branch3.1.conv,0.995678,0.913561,0.386849,0.392851,0.917197
GoogLeNet,inception3a.branch4.1.conv,0.996755,0.916194,0.387674,0.394140,0.918935
GoogLeNet,inception3b.branch1.conv,0.997565,0.907173,0.354925,0.355850,0.909187
GoogLeNet,inception3b.branch2.0.conv,0.997565,0.903123,0.353143,0.354059,0.905118
GoogLeNet,inception3b.branch2.1.conv,0.999458,0.902980,0.312216,0.313171,0.903422
GoogLeNet,inception3b.branch3.0.conv,0.997565,0.902799,0.381088,0.387652,0.904793
GoogLeNet,inception3b.branch3.1.conv,0.997835,0.898830,0.350559,0.352166,0.900586
GoogLeNet,inception3b.branch4.1.conv,0.997565,0.909515,0.370291,0.373125,0.911539
GoogLeNet,inception4a.branch1.conv,0.998700,0.906828,0.326533,0.327243,0.907900
GoogLeNet,inception4a.branch2.0.conv,0.998700,0.910150,0.340353,0.342294,0.911230
GoogLeNet,inception4a.branch2.1.conv,0.999277,0.905816,0.313464,0.314273,0.906410
GoogLeNet,inception4a.branch3.0.conv,0.998700,0.932945,0.387011,0.402297,0.934079
GoogLeNet,inception4a.branch3.1.conv,0.995678,0.907563,0.386558,0.389960,0.911152
GoogLeNet,inception4a.branch4.1.conv,0.998700,0.911221,0.354441,0.357659,0.912304
GoogLeNet,inception4b.branch1.conv,0.998781,0.904943,0.325508,0.326478,0.905944
GoogLeNet,inception4b.branch2.0.conv,0.998781,0.908506,0.339979,0.341600,0.909515
GoogLeNet,inception4b.branch2.1.conv,0.999380,0.904496,0.312994,0.313761,0.905003
GoogLeNet,inception4b.branch3.0.conv,0.998781,0.914558,0.365916,0.375464,0.915580
GoogLeNet,inception4b.branch3.1.conv,0.997115,0.902703,0.367354,0.369969,0.905067
GoogLeNet,inception4b.branch4.1.conv,0.998781,0.902153,0.350473,0.353650,0.903148
GoogLeNet,inception4c.branch1.conv,0.998781,0.904244,0.338446,0.339794,0.905243
GoogLeNet,inception4c.branch2.0.conv,0.998781,0.905731,0.339071,0.340424,0.906734
GoogLeNet,inception4c.branch2.1.conv,0.999458,0.902073,0.300575,0.301228,0.902515
GoogLeNet,inception4c.branch3.0.conv,0.998781,0.913674,0.365527,0.375054,0.914694
GoogLeNet,inception4c.branch3.1.conv,0.997115,0.906670,0.369162,0.371803,0.909055
GoogLeNet,inception4c.branch4.1.conv,0.998781,0.901582,0.350225,0.353398,0.902575
GoogLeNet,inception4d.branch1.conv,0.998781,0.905679,0.338792,0.340401,0.906682
GoogLeNet,inception4d.branch2.0.conv,0.998781,0.903341,0.324704,0.325826,0.904338
GoogLeNet,inception4d.branch2.1.conv,0.999518,0.901519,0.300442,0.301022,0.901912
GoogLeNet,inception4d.branch3.0.conv,0.998781,0.908355,0.365612,0.372597,0.909363
GoogLeNet,inception4d.branch3.1.conv,0.997835,0.902556,0.350978,0.353808,0.904327
GoogLeNet,inception4d.branch4.1.conv,0.998781,0.902178,0.350483,0.353661,0.903172
GoogLeNet,inception4e.branch1.conv,0.998818,0.900454,0.311721,0.312161,0.901414
GoogLeNet,inception4e.branch2.0.conv,0.998818,0.899748,0.323397,0.324368,0.900707
GoogLeNet,inception4e.branch2.1.conv,0.999566,0.900679,0.300187,0.300708,0.901031
GoogLeNet,inception4e.branch3.0.conv,0.998818,0.906389,0.348693,0.355516,0.907363
GoogLeNet,inception4e.branch3.1.conv,0.997835,0.900726,0.337289,0.338279,0.902490
GoogLeNet,inception4e.branch4.1.conv,0.998818,0.900772,0.323462,0.324783,0.901733
GoogLeNet,inception5a.branch1.conv,0.999249,0.900772,0.311709,0.312301,0.901382
GoogLeNet,inception5a.branch2.0.conv,0.999249,0.902588,0.324402,0.325535,0.903200
GoogLeNet,inception5a.branch2.1.conv,0.999566,0.900797,0.300231,0.300752,0.901149
GoogLeNet,inception5a.branch3.0.conv,0.999249,0.901928,0.346651,0.353556,0.902539
GoogLeNet,inception5a.branch3.1.conv,0.997835,0.896803,0.335640,0.336621,0.898552
GoogLeNet,inception5a.branch4.1.conv,0.999249,0.901714,0.323701,0.325179,0.902325
GoogLeNet,inception5b.branch1.conv,0.999249,0.911003,0.304276,0.304585,0.911627
GoogLeNet,inception5b.branch2.0.conv,0.999249,0.901403,0.311669,0.312547,0.902014
GoogLeNet,inception5b.branch2.1.conv,0.999638,0.903744,0.290653,0.291081,0.904039
GoogLeNet,inception5b.branch3.0.conv,0.999249,0.902203,0.334486,0.338938,0.902815
GoogLeNet,inception5b.branch3.1.conv,0.998555,0.905720,0.339144,0.340413,0.906908
GoogLeNet,inception5b.branch4.1.conv,0.999249,0.902256,0.323919,0.325400,0.902868
InceptionV3,Conv2d_1a_3x3.conv,0.977376,0.874494,0.438579,0.437192,0.892562
InceptionV3,Conv2d_2a_3x3.conv,1.033981,0.946590,0.374239,0.381173,0.928751
InceptionV3,Conv2d_2b_3x3.conv,0.997835,0.960650,0.376428,0.379685,0.962657
InceptionV3,Conv2d_3b_1x1.conv,0.990329,0.902998,0.388523,0.387758,0.911032
InceptionV3,Conv2d_4a_3x3.conv,0.999133,0.907009,0.313886,0.314735,0.907724
InceptionV3,Mixed_5b.branch1x1.conv,0.996755,0.899890,0.366205,0.368666,0.902534
InceptionV3,Mixed_5b.branch5x5_1.conv,0.996755,0.907712,0.368522,0.372273,0.910402
InceptionV3,Mixed_5b.branch5x5_2.conv,0.999479,0.919518,0.329002,0.332440,0.919959
InceptionV3,Mixed_5b.branch3x3dbl_1.conv,0.996755,0.901342,0.366866,0.369336,0.903995
InceptionV3,Mixed_5b.branch3x3dbl_2.conv,0.998916,0.905112,0.338167,0.340164,0.906002
InceptionV3,Mixed_5b.branch3x3dbl_3.conv,0.999277,0.904032,0.324043,0.326122,0.904623
InceptionV3,Mixed_5b.branch_pool.conv,0.996755,0.908741,0.384174,0.390523,0.911437
InceptionV3,Mixed_5c.branch1x1.conv,0.997565,0.908003,0.369602,0.372425,0.910020
InceptionV3,Mixed_5c.branch5x5_1.conv,0.997565,0.901805,0.365554,0.369556,0.903795
InceptionV3,Mixed_5c.branch5x5_2.conv,0.999479,0.914754,0.327097,0.330495,0.915190
InceptionV3,Mixed_5c.branch3x3dbl_1.conv,0.997565,0.901954,0.366848,0.369629,0.903945
InceptionV3,Mixed_5c.branch3x3dbl_2.conv,0.998916,0.902320,0.336998,0.338981,0.903205
InceptionV3,Mixed_5c.branch3x3dbl_3.conv,0.999277,0.902271,0.323336,0.325406,0.902861
InceptionV3,Mixed_5c.branch_pool.conv,0.997565,0.905994,0.368687,0.371496,0.908003
InceptionV3,Mixed_5d.branch1x1.conv,0.997835,0.910492,0.354432,0.357318,0.912295
InceptionV3,Mixed_5d.branch5x5_1.conv,0.997835,0.906492,0.367574,0.371725,0.908279
InceptionV3,Mixed_5d.branch5x5_2.conv,0.999479,0.908682,0.324673,0.328020,0.909112
InceptionV3,Mixed_5d.branch3x3dbl_1.conv,0.997835,0.910897,0.354608,0.357497,0.912701
InceptionV3,Mixed_5d.branch3x3dbl_2.conv,0.998916,0.905720,0.338421,0.340421,0.906611
InceptionV3,Mixed_5d.branch3x3dbl_3.conv,0.999277,0.903874,0.323979,0.326058,0.904465
