model name,layer name,BDIZV,CSC,ZRLE,ZVC
ResNet50,layer1.0.conv2,1.788701,1.166358,1.793355,1.789743
ResNet50,layer2.3.conv2,2.140249,1.438124,2.097846,2.140995
ResNet50,layer3.5.conv2,3.512175,2.559385,3.528065,3.513179
ResNet50,layer4.2.conv2,4.951559,3.756501,5.138041,4.952556
AlexNet,features.3,1.340850,0.860731,1.335502,1.341061
AlexNet,features.6,1.906853,1.292414,1.880550,1.907247
AlexNet,features.10,3.990911,2.951132,4.055607,3.992208
VGG16,features.2,1.890668,1.148918,1.889788,1.891777
VGG16,features.7,2.361043,1.483612,2.346813,2.361945
VGG16,features.12,2.519316,1.620293,2.504863,2.519832
VGG16,features.19,4.338535,3.081660,4.453268,4.339301
