model name,layer name,BDI,BDIZV,CSC,CSR,ZVC
AlexNet,features.0,0.999690,0.978780,0.609725,0.609135,0.979089
AlexNet,features.3,0.999883,1.343375,0.862422,0.862769,1.343587
AlexNet,features.6,0.999892,1.941151,1.317059,1.322289,1.941560
AlexNet,features.8,0.999946,5.706777,4.473650,4.534298,5.708544
AlexNet,features.10,0.999919,4.077932,3.024205,3.051083,4.079286
InceptionV3,Conv2d_1a_3x3.conv,0.993670,0.963744,0.627431,0.618910,0.969697
InceptionV3,Conv2d_2a_3x3.conv,0.999349,1.923385,1.237116,1.233723,1.925796
InceptionV3,Conv2d_2b_3x3.conv,0.999349,1.777585,1.137707,1.134836,1.779645
InceptionV3,Conv2d_3b_1x1.conv,0.997079,1.066382,0.708203,0.703917,1.069724
InceptionV3,Conv2d_4a_3x3.conv,0.999740,1.438442,0.909527,0.908974,1.438981
InceptionV3,Mixed_5b.branch1x1.conv,0.999024,1.113377,0.753677,0.752590,1.114589
InceptionV3,Mixed_5b.branch5x5_1.conv,0.999024,1.113377,0.753677,0.752590,1.114589
InceptionV3,Mixed_5b.branch5x5_2.conv,0.999844,1.544148,1.017274,1.017745,1.544521
InceptionV3,Mixed_5b.branch3x3dbl_1.conv,0.999024,1.113377,0.753677,0.752590,1.114589
InceptionV3,Mixed_5b.branch3x3dbl_2.conv,0.999675,1.742521,1.178892,1.178786,1.743510
InceptionV3,Mixed_5b.branch3x3dbl_3.conv,0.999783,2.305444,1.588619,1.589248,2.306598
InceptionV3,Mixed_5b.branch_pool.conv,0.999024,1.005605,0.678323,0.677442,1.006593
InceptionV3,Mixed_5c.branch1x1.conv,0.999268,1.769360,1.223532,1.221700,1.771656
InceptionV3,Mixed_5c.branch5x5_1.conv,0.999268,1.769360,1.223532,1.221700,1.771656
InceptionV3,Mixed_5c.branch5x5_2.conv,0.999844,1.996227,1.334618,1.335429,1.996850
InceptionV3,Mixed_5c.branch3x3dbl_1.conv,0.999268,1.769360,1.223532,1.221700,1.771656
InceptionV3,Mixed_5c.branch3x3dbl_2.conv,0.999675,1.890546,1.285272,1.285145,1.891710
InceptionV3,Mixed_5c.branch3x3dbl_3.conv,0.999783,2.655596,1.851461,1.852315,2.657127
InceptionV3,Mixed_5c.branch_pool.conv,0.999268,1.203576,0.816906,0.816089,1.204638
InceptionV3,Mixed_5d.branch1x1.conv,0.999349,1.994213,1.389176,1.387259,1.996805
InceptionV3,Mixed_5d.branch5x5_1.conv,0.999349,1.994213,1.389176,1.387259,1.996805
InceptionV3,Mixed_5d.branch5x5_2.conv,0.999844,2.095149,1.405318,1.406218,2.095836
InceptionV3,Mixed_5d.branch3x3dbl_1.conv,0.999349,1.994213,1.389176,1.387259,1.996805
InceptionV3,Mixed_5d.branch3x3dbl_2.conv,0.999675,1.914138,1.302322,1.302193,1.915332
InceptionV3,Mixed_5d.branch3x3dbl_3.conv,1.000282,2.422272,1.675633,1.676332,2.423546
InceptionV3,Mixed_5d.branch_pool.conv,0.999349,1.257649,0.837903,0.837165,1.258680
InceptionV3,Mixed_6a.branch3x3.conv,0.999928,2.207745,1.508973,1.517421,2.208098
InceptionV3,Mixed_6a.branch3x3dbl_1.conv,0.999349,2.170317,1.520805,1.518508,2.173388
InceptionV3,Mixed_6a.branch3x3dbl_2.conv,1.000423,2.618064,1.860880,1.860629,2.620297
InceptionV3,Mixed_6a.branch3x3dbl_3.conv,1.005010,4.617577,3.634000,3.670180,4.621351
