model name,layer name,total,valid,ratio
ResNet50,layer1.0.conv2,115605504,60980672,1.895773
ResNet50,layer2.3.conv2,115605504,50383488,2.294512
ResNet50,layer3.5.conv2,115605504,29293568,3.946447
ResNet50,layer4.2.conv2,115605504,19729920,5.859401
AlexNet,features.3,223948800,159995328,1.399721
AlexNet,features.6,112140288,55292544,2.028127
AlexNet,features.10,99680256,21853696,4.561254
VGG16,features.2,1849688064,919949120,2.010642
VGG16,features.7,1849688064,725317888,2.550176
VGG16,features.12,1849688064,676249344,2.735216
VGG16,features.19,1849688064,368461312,5.020033
