sparsity,CSC,ZRLE,ZVC
0,0.639775079073763,0.9696969696969693,0.9696969696969693
5,0.6675630526015565,1.0137625452277677,1.0199203187250991
10,0.6978745154832389,1.0629212990343737,1.07563025210084
15,0.7297345448066986,1.1158863266293197,1.1352549889135253
20,0.7661086692228559,1.1779400304396368,1.204705882352941
25,0.8046756053239039,1.2455698650902136,1.28
30,0.8491318994558176,1.3263292072132908,1.3689839572192508
35,0.8987876460584783,1.4196266561107163,1.4712643678160917
40,0.9523366658916533,1.5244645412179074,1.5851393188854492
45,1.0152435246003222,1.6532850192558899,1.7239057239057234
50,1.1422197434467376,1.802185996247437,1.8823529411764708
55,1.231509320505111,1.9918402504179689,2.0813008130081303
60,1.3359425962165687,2.2295664697459223,2.3272727272727276
65,1.4545454545454546,2.523454255880342,2.625641025641025
70,1.6025039123630678,2.930714561027283,3.029585798816569
75,1.9088896656180827,3.4771483987386897,3.5555555555555567
80,2.1646188400052857,4.324197519325562,4.3389830508474585
85,2.4994660564454625,5.726168602550892,5.565217391304346
90,3.266347687400319,8.32386218070736,7.641791044776117
95,4.694555873925501,15.706354772881207,12.487804878048783
