layer_name,M,N,K
Conv2d_1a_3x3.conv,32,51076,27
Conv2d_2a_3x3.conv,32,12544,288
Conv2d_2b_3x3.conv,64,12100,288
Conv2d_3b_1x1.conv,80,2916,64
Conv2d_4a_3x3.conv,192,2916,720
Mixed_5b.branch1x1.conv,64,625,192
Mixed_5b.branch5x5_1.conv,48,625,192
Mixed_5b.branch5x5_2.conv,64,625,1200
Mixed_5b.branch3x3dbl_1.conv,64,625,192
Mixed_5b.branch3x3dbl_2.conv,96,625,576
Mixed_5b.branch3x3dbl_3.conv,96,625,864
Mixed_5b.branch_pool.conv,32,625,192
Mixed_5c.branch1x1.conv,64,625,256
Mixed_5c.branch5x5_1.conv,48,625,256
Mixed_5c.branch5x5_2.conv,64,625,1200
Mixed_5c.branch3x3dbl_1.conv,64,625,256
Mixed_5c.branch3x3dbl_2.conv,96,625,576
Mixed_5c.branch3x3dbl_3.conv,96,625,864
Mixed_5c.branch_pool.conv,64,625,256
Mixed_5d.branch1x1.conv,64,625,288
Mixed_5d.branch5x5_1.conv,48,625,288
Mixed_5d.branch5x5_2.conv,64,625,1200
Mixed_5d.branch3x3dbl_1.conv,64,625,288
Mixed_5d.branch3x3dbl_2.conv,96,625,576
Mixed_5d.branch3x3dbl_3.conv,96,625,864
Mixed_5d.branch_pool.conv,64,625,288
Mixed_6a.branch3x3.conv,384,625,2592
Mixed_6a.branch3x3dbl_1.conv,64,625,288
Mixed_6a.branch3x3dbl_2.conv,96,625,576
Mixed_6a.branch3x3dbl_3.conv,96,625,864
Mixed_6b.branch1x1.conv,192,144,768
Mixed_6b.branch7x7_1.conv,128,144,768
Mixed_6b.branch7x7_2.conv,128,144,896
Mixed_6b.branch7x7_3.conv,192,144,896
Mixed_6b.branch7x7dbl_1.conv,128,144,768
Mixed_6b.branch7x7dbl_2.conv,128,144,896
Mixed_6b.branch7x7dbl_3.conv,128,144,896
Mixed_6b.branch7x7dbl_4.conv,128,144,896
Mixed_6b.branch7x7dbl_5.conv,192,144,896
Mixed_6b.branch_pool.conv,192,144,768
Mixed_6c.branch1x1.conv,192,144,768
Mixed_6c.branch7x7_1.conv,160,144,768
Mixed_6c.branch7x7_2.conv,160,144,1120
Mixed_6c.branch7x7_3.conv,192,144,1120
Mixed_6c.branch7x7dbl_1.conv,160,144,768
Mixed_6c.branch7x7dbl_2.conv,160,144,1120
Mixed_6c.branch7x7dbl_3.conv,160,144,1120
Mixed_6c.branch7x7dbl_4.conv,160,144,1120
Mixed_6c.branch7x7dbl_5.conv,192,144,1120
Mixed_6c.branch_pool.conv,192,144,768
Mixed_6d.branch1x1.conv,192,144,768
Mixed_6d.branch7x7_1.conv,160,144,768
Mixed_6d.branch7x7_2.conv,160,144,1120
Mixed_6d.branch7x7_3.conv,192,144,1120
Mixed_6d.branch7x7dbl_1.conv,160,144,768
Mixed_6d.branch7x7dbl_2.conv,160,144,1120
Mixed_6d.branch7x7dbl_3.conv,160,144,1120
Mixed_6d.branch7x7dbl_4.conv,160,144,1120
Mixed_6d.branch7x7dbl_5.conv,192,144,1120
Mixed_6d.branch_pool.conv,192,144,768
Mixed_6e.branch1x1.conv,192,144,768
Mixed_6e.branch7x7_1.conv,192,144,768
Mixed_6e.branch7x7_2.conv,192,144,1344
Mixed_6e.branch7x7_3.conv,192,144,1344
Mixed_6e.branch7x7dbl_1.conv,192,144,768
Mixed_6e.branch7x7dbl_2.conv,192,144,1344
Mixed_6e.branch7x7dbl_3.conv,192,144,1344
Mixed_6e.branch7x7dbl_4.conv,192,144,1344
Mixed_6e.branch7x7dbl_5.conv,192,144,1344
Mixed_6e.branch_pool.conv,192,144,768
Mixed_7a.branch3x3_1.conv,192,144,768
Mixed_7a.branch3x3_2.conv,320,144,1728
Mixed_7a.branch7x7x3_1.conv,192,144,768
Mixed_7a.branch7x7x3_2.conv,192,144,1344
Mixed_7a.branch7x7x3_3.conv,192,144,1344
Mixed_7a.branch7x7x3_4.conv,192,144,1728
Mixed_7b.branch1x1.conv,320,25,1280
Mixed_7b.branch3x3_1.conv,384,25,1280
Mixed_7b.branch3x3_2a.conv,384,25,1152
Mixed_7b.branch3x3_2b.conv,384,25,1152
Mixed_7b.branch3x3dbl_1.conv,448,25,1280
Mixed_7b.branch3x3dbl_2.conv,384,25,4032
Mixed_7b.branch3x3dbl_3a.conv,384,25,1152
Mixed_7b.branch3x3dbl_3b.conv,384,25,1152
Mixed_7b.branch_pool.conv,192,25,1280
Mixed_7c.branch1x1.conv,320,25,2048
Mixed_7c.branch3x3_1.conv,384,25,2048
Mixed_7c.branch3x3_2a.conv,384,25,1152
Mixed_7c.branch3x3_2b.conv,384,25,1152
Mixed_7c.branch3x3dbl_1.conv,448,25,2048
Mixed_7c.branch3x3dbl_2.conv,384,25,4032
Mixed_7c.branch3x3dbl_3a.conv,384,25,1152
Mixed_7c.branch3x3dbl_3b.conv,384,25,1152
Mixed_7c.branch_pool.conv,192,25,2048
