layer_name,M,N,K
conv1,64,51076,147
layer1.0.conv1,64,3249,576
layer1.0.conv2,64,3249,576
layer1.1.conv1,64,3249,576
layer1.1.conv2,64,3249,576
layer2.0.conv1,128,3249,576
layer2.0.conv2,128,841,1152
layer2.0.downsample.0,128,3249,64
layer2.1.conv1,128,841,1152
layer2.1.conv2,128,841,1152
layer3.0.conv1,256,841,1152
layer3.0.conv2,256,225,2304
layer3.0.downsample.0,256,841,128
layer3.1.conv1,256,225,2304
layer3.1.conv2,256,225,2304
layer4.0.conv1,512,225,2304
layer4.0.conv2,512,64,4608
layer4.0.downsample.0,512,225,256
layer4.1.conv1,512,64,4608
layer4.1.conv2,512,64,4608
