layer_name,M,N,K
features.0,96,51076,147
features.3.squeeze,16,3025,96
features.3.expand1x1,64,3025,16
features.3.expand3x3,64,3025,144
features.4.squeeze,16,3025,128
features.4.expand1x1,64,3025,16
features.4.expand3x3,64,3025,144
features.5.squeeze,32,3025,128
features.5.expand1x1,128,3025,32
features.5.expand3x3,128,3025,288
features.7.squeeze,32,729,256
features.7.expand1x1,128,729,32
features.7.expand3x3,128,729,288
features.8.squeeze,48,729,256
features.8.expand1x1,192,729,48
features.8.expand3x3,192,729,432
features.9.squeeze,48,729,384
features.9.expand1x1,192,729,48
features.9.expand3x3,192,729,432
features.10.squeeze,64,729,384
features.10.expand1x1,256,729,64
features.10.expand3x3,256,729,576
features.12.squeeze,64,169,512
features.12.expand1x1,256,169,64
features.12.expand3x3,256,169,576
classifier.1,1000,169,512
